species	assembly	panel_id	source_accession	source_chromosome	seqid	start_1based	end_1based	start0	end0	orientation	evidence_class	full_length_structural_candidate	primary_autonomous_candidate	autonomy_status	length_bp	transposase_aa	tsd	structural_rule	orf_evidence	experimental_validation	source	source_url	existing_core_overlap_bp	existing_halo_overlap_bp	existing_core_id	existing_halo_id	in_existing_core	in_existing_halo
zebrafish	GCA_000002035.4/GRCz11	ZB_copy9	NC_007120.7	9	chr9	52265193	52266789	52265192	52266789	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy10	NW_018394613.1	5	NW_018394613.1	183016	184612	183015	184612	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy11	NC_007112.7	1	chr1	7987819	7989415	7987818	7989415	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy12	NC_007115.7	4	chr4	61995639	61997235	61995638	61997235	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy13	NC_007115.7	4	chr4	52993659	52995255	52993658	52995255	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy14	NC_007130.7	19	chr19	30289338	30290934	30289337	30290934	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy15	NC_007135.7	24	chr24	15669649	15671245	15669648	15671245	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy16	NW_018394510.1	2	NW_018394510.1	430	2026	429	2026	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy17	NC_007134.7	23	chr23	44806658	44808254	44806657	44808254	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy18	NW_018395163.1	23	NW_018395163.1	32622	34218	32621	34218	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy19	NC_007114.7	3	chr3	36170736	36172332	36170735	36172332	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
zebrafish	GCA_000002035.4/GRCz11	ZB_copy20	NC_007125.7	14	chr14	14051630	14053226	14051629	14053226	.	E_structural_full_length	True	False	pending_per_copy_ORF_TIR_rule; source reports 19/20 intact in aggregate	1597	341	TA	published full-length 1597-bp element; 341-aa transposase; TA TSD; article reports 20 copies and 19 intact/putatively functional copies in aggregate	source reports a 341-aa transposase ORF with DDE/DBD/NLS/GRPR domains; Supplementary Table S4 gives length but does not independently resolve start/stop integrity per copy	ZB construct showed transposition activity in HepG2/HeLa and zebrafish enhancer-trapping assays; this does not validate autonomy of every endogenous copy	Supplementary Table S4, gkab045	https://pmc.ncbi.nlm.nih.gov/articles/PMC7913693/	0	0			False	False
