idx	chrom	start	end	rep_class	rep_family	historical_label	mapping_reason
595	chrX	16551639	16552151	Retroposon	SVA	Unknown	named_non_main4_taxon
599	chrX	49161942	49162454	DNA?	hAT-Tip100?	Unknown	ambiguous_annotation
614	chrX	54026818	54027330	Retroposon	SVA	Unknown	named_non_main4_taxon
640	chrX	79025327	79025839	Retroposon	SVA	Unknown	named_non_main4_taxon
650	chrX	53419300	53419812	Retroposon	SVA	Unknown	named_non_main4_taxon
672	chrX	70611835	70612347	Retroposon	SVA	Unknown	named_non_main4_taxon
675	chrX	63817356	63817868	Retroposon	SVA	Unknown	named_non_main4_taxon
681	chrX	135308106	135308618	Retroposon	SVA	Unknown	named_non_main4_taxon
705	chrX	41689949	41690461	Retroposon	SVA	Unknown	named_non_main4_taxon
718	chrX	53418367	53418879	Retroposon	SVA	Unknown	named_non_main4_taxon
719	chrX	53257486	53257998	Retroposon	SVA	Unknown	named_non_main4_taxon
721	chrX	63883549	63884061	Retroposon	SVA	Unknown	named_non_main4_taxon
729	chrX	47526000	47526512	Retroposon	SVA	Unknown	named_non_main4_taxon
731	chrX	143692988	143693500	Retroposon	SVA	Unknown	named_non_main4_taxon
735	chrX	29875140	29875652	RC	Helitron	Unknown	named_non_main4_taxon
768	chrX	52789782	52790294	Retroposon	SVA	Unknown	named_non_main4_taxon
778	chrX	79024403	79024915	Retroposon	SVA	Unknown	named_non_main4_taxon
800	chrX	117739261	117739773	Retroposon	SVA	Unknown	named_non_main4_taxon
822	chrX	128169936	128170448	Retroposon	SVA	Unknown	named_non_main4_taxon
834	chrX	27049166	27049678	Retroposon	SVA	Unknown	named_non_main4_taxon
836	chrX	70612372	70612884	Retroposon	SVA	Unknown	named_non_main4_taxon
877	chrX	73001774	73002286	Retroposon	SVA	Unknown	named_non_main4_taxon
879	chrX	130682879	130683391	RC	Helitron	Unknown	named_non_main4_taxon
891	chrX	106779395	106779907	LTR?	LTR?	Unknown	ambiguous_annotation
919	chrX	71455569	71456081	Retroposon	SVA	Unknown	named_non_main4_taxon
930	chrX	47549729	47550241	Retroposon	SVA	Unknown	named_non_main4_taxon
939	chrX	47632030	47632542	Retroposon	SVA	Unknown	named_non_main4_taxon
944	chrX	124953461	124953973	Retroposon	SVA	Unknown	named_non_main4_taxon
956	chrX	47524951	47525463	Retroposon	SVA	Unknown	named_non_main4_taxon
959	chrX	54027222	54027734	Retroposon	SVA	Unknown	named_non_main4_taxon
961	chrX	71114214	71114726	Retroposon	SVA	Unknown	named_non_main4_taxon
966	chrX	48069162	48069674	Retroposon	SVA	Unknown	named_non_main4_taxon
974	chrX	68783485	68783997	Retroposon	SVA	Unknown	named_non_main4_taxon
980	chrX	53062124	53062636	Retroposon	SVA	Unknown	named_non_main4_taxon
986	chrX	71114610	71115122	Retroposon	SVA	Unknown	named_non_main4_taxon
994	chrX	61613008	61613520	Retroposon	SVA	Unknown	named_non_main4_taxon
997	chrX	30348213	30348725	Retroposon	SVA	Unknown	named_non_main4_taxon
1005	chrX	79145953	79146465	Retroposon	SVA	Unknown	named_non_main4_taxon
1006	chrX	76367238	76367750	Retroposon	SVA	Unknown	named_non_main4_taxon
1028	chrX	129651817	129652329	Retroposon	SVA	Unknown	named_non_main4_taxon
1030	chrX	70991992	70992504	Retroposon	SVA	Unknown	named_non_main4_taxon
1052	chrX	16547927	16548439	Retroposon	SVA	Unknown	named_non_main4_taxon
1060	chrX	133286033	133286545	Retroposon	SVA	Unknown	named_non_main4_taxon
1062	chrX	67855323	67855835	Retroposon	SVA	Unknown	named_non_main4_taxon
1066	chrX	95714244	95714756	Retroposon	SVA	Unknown	named_non_main4_taxon
1073	chrX	13883157	13883669	Retroposon	SVA	Unknown	named_non_main4_taxon
1077	chrX	73769192	73769704	Retroposon	SVA	Unknown	named_non_main4_taxon
1081	chrX	72531819	72532331	Retroposon	SVA	Unknown	named_non_main4_taxon
1098	chrX	63818344	63818856	Retroposon	SVA	Unknown	named_non_main4_taxon
1114	chrX	153009868	153010380	Retroposon	SVA	Unknown	named_non_main4_taxon
1119	chrX	41690701	41691213	Retroposon	SVA	Unknown	named_non_main4_taxon
1121	chrX	72846297	72846809	Retroposon	SVA	Unknown	named_non_main4_taxon
1130	chrX	69703829	69704341	Retroposon	SVA	Unknown	named_non_main4_taxon
1134	chrX	79146473	79146985	Retroposon	SVA	Unknown	named_non_main4_taxon
1138	chrX	26492763	26493275	Retroposon	SVA	Unknown	named_non_main4_taxon
