selection_index	record_id	record_index	species_rank	species_code	chr	start	end	sequence_length	label_length
150	test_line_000390	390	30	zebrafish	chr5	122880	126976	4096	4096
151	test_line_000391	391	31	zebrafish	chr5	126976	131072	4096	4096
152	test_line_000392	392	32	zebrafish	chr5	131072	135168	4096	4096
153	test_line_000393	393	33	zebrafish	chr5	135168	139264	4096	4096
154	test_line_000394	394	34	zebrafish	chr5	139264	143360	4096	4096
155	test_line_000395	395	35	zebrafish	chr5	143360	147456	4096	4096
156	test_line_000396	396	36	zebrafish	chr5	147456	151552	4096	4096
157	test_line_000397	397	37	zebrafish	chr5	151552	155648	4096	4096
158	test_line_000398	398	38	zebrafish	chr5	155648	159744	4096	4096
159	test_line_000399	399	39	zebrafish	chr5	159744	163840	4096	4096
160	test_line_000400	400	40	zebrafish	chr5	163840	167936	4096	4096
161	test_line_000401	401	41	zebrafish	chr5	167936	172032	4096	4096
162	test_line_000402	402	42	zebrafish	chr5	172032	176128	4096	4096
163	test_line_000403	403	43	zebrafish	chr5	176128	180224	4096	4096
164	test_line_000404	404	44	zebrafish	chr5	180224	184320	4096	4096
165	test_line_000405	405	45	zebrafish	chr5	184320	188416	4096	4096
166	test_line_000406	406	46	zebrafish	chr5	188416	192512	4096	4096
167	test_line_000407	407	47	zebrafish	chr5	192512	196608	4096	4096
168	test_line_000408	408	48	zebrafish	chr5	196608	200704	4096	4096
169	test_line_000409	409	49	zebrafish	chr5	200704	204800	4096	4096
170	test_line_000410	410	50	zebrafish	chr5	204800	208896	4096	4096
171	test_line_000411	411	51	zebrafish	chr5	208896	212992	4096	4096
172	test_line_000412	412	52	zebrafish	chr5	212992	217088	4096	4096
173	test_line_000413	413	53	zebrafish	chr5	217088	221184	4096	4096
174	test_line_000414	414	54	zebrafish	chr5	221184	225280	4096	4096
175	test_line_000415	415	55	zebrafish	chr5	225280	229376	4096	4096
176	test_line_000416	416	56	zebrafish	chr5	229376	233472	4096	4096
177	test_line_000417	417	57	zebrafish	chr5	233472	237568	4096	4096
178	test_line_000418	418	58	zebrafish	chr5	237568	241664	4096	4096
179	test_line_000419	419	59	zebrafish	chr5	241664	245760	4096	4096
180	test_line_000420	420	60	zebrafish	chr5	245760	249856	4096	4096
181	test_line_000421	421	61	zebrafish	chr5	249856	253952	4096	4096
182	test_line_000422	422	62	zebrafish	chr5	253952	258048	4096	4096
183	test_line_000423	423	63	zebrafish	chr5	258048	262144	4096	4096
184	test_line_000424	424	64	zebrafish	chr5	262144	266240	4096	4096
185	test_line_000425	425	65	zebrafish	chr5	266240	270336	4096	4096
186	test_line_000426	426	66	zebrafish	chr5	270336	274432	4096	4096
187	test_line_000427	427	67	zebrafish	chr5	274432	278528	4096	4096
188	test_line_000428	428	68	zebrafish	chr5	278528	282624	4096	4096
189	test_line_000429	429	69	zebrafish	chr5	282624	286720	4096	4096
190	test_line_000430	430	70	zebrafish	chr5	286720	290816	4096	4096
191	test_line_000431	431	71	zebrafish	chr5	290816	294912	4096	4096
192	test_line_000432	432	72	zebrafish	chr5	294912	299008	4096	4096
193	test_line_000433	433	73	zebrafish	chr5	299008	303104	4096	4096
194	test_line_000434	434	74	zebrafish	chr5	303104	307200	4096	4096
195	test_line_000435	435	75	zebrafish	chr5	307200	311296	4096	4096
196	test_line_000436	436	76	zebrafish	chr5	311296	315392	4096	4096
197	test_line_000437	437	77	zebrafish	chr5	315392	319488	4096	4096
198	test_line_000438	438	78	zebrafish	chr5	319488	323584	4096	4096
199	test_line_000439	439	79	zebrafish	chr5	323584	327680	4096	4096
200	test_line_000440	440	80	zebrafish	chr5	327680	331776	4096	4096
201	test_line_000441	441	81	zebrafish	chr5	331776	335872	4096	4096
202	test_line_000442	442	82	zebrafish	chr5	335872	339968	4096	4096
203	test_line_000443	443	83	zebrafish	chr5	339968	344064	4096	4096
204	test_line_000444	444	84	zebrafish	chr5	344064	348160	4096	4096
205	test_line_000445	445	85	zebrafish	chr5	348160	352256	4096	4096
206	test_line_000446	446	86	zebrafish	chr5	352256	356352	4096	4096
207	test_line_000447	447	87	zebrafish	chr5	356352	360448	4096	4096
208	test_line_000448	448	88	zebrafish	chr5	360448	364544	4096	4096
209	test_line_000449	449	89	zebrafish	chr5	364544	368640	4096	4096
210	test_line_000450	450	90	zebrafish	chr5	368640	372736	4096	4096
211	test_line_000451	451	91	zebrafish	chr5	372736	376832	4096	4096
212	test_line_000452	452	92	zebrafish	chr5	376832	380928	4096	4096
213	test_line_000453	453	93	zebrafish	chr5	380928	385024	4096	4096
214	test_line_000454	454	94	zebrafish	chr5	385024	389120	4096	4096
215	test_line_000455	455	95	zebrafish	chr5	389120	393216	4096	4096
216	test_line_000456	456	96	zebrafish	chr5	393216	397312	4096	4096
217	test_line_000457	457	97	zebrafish	chr5	397312	401408	4096	4096
218	test_line_000458	458	98	zebrafish	chr5	401408	405504	4096	4096
219	test_line_000459	459	99	zebrafish	chr5	405504	409600	4096	4096
220	test_line_000460	460	100	zebrafish	chr5	409600	413696	4096	4096
221	test_line_000461	461	101	zebrafish	chr5	413696	417792	4096	4096
222	test_line_000462	462	102	zebrafish	chr5	417792	421888	4096	4096
223	test_line_000463	463	103	zebrafish	chr5	421888	425984	4096	4096
224	test_line_000464	464	104	zebrafish	chr5	425984	430080	4096	4096
225	test_line_000465	465	105	zebrafish	chr5	430080	434176	4096	4096
226	test_line_000466	466	106	zebrafish	chr5	434176	438272	4096	4096
227	test_line_000467	467	107	zebrafish	chr5	438272	442368	4096	4096
228	test_line_000468	468	108	zebrafish	chr5	442368	446464	4096	4096
229	test_line_000469	469	109	zebrafish	chr5	446464	450560	4096	4096
230	test_line_000470	470	110	zebrafish	chr5	450560	454656	4096	4096
231	test_line_000471	471	111	zebrafish	chr5	454656	458752	4096	4096
232	test_line_000472	472	112	zebrafish	chr5	458752	462848	4096	4096
233	test_line_000473	473	113	zebrafish	chr5	462848	466944	4096	4096
234	test_line_000474	474	114	zebrafish	chr5	466944	471040	4096	4096
235	test_line_000475	475	115	zebrafish	chr5	471040	475136	4096	4096
236	test_line_000476	476	116	zebrafish	chr5	475136	479232	4096	4096
237	test_line_000477	477	117	zebrafish	chr5	479232	483328	4096	4096
238	test_line_000478	478	118	zebrafish	chr5	483328	487424	4096	4096
239	test_line_000479	479	119	zebrafish	chr5	487424	491520	4096	4096
240	test_line_000720	720	0	chicken	chr3	0	4096	4096	4096
241	test_line_000721	721	1	chicken	chr3	4096	8192	4096	4096
242	test_line_000722	722	2	chicken	chr3	8192	12288	4096	4096
243	test_line_000723	723	3	chicken	chr3	12288	16384	4096	4096
244	test_line_000724	724	4	chicken	chr3	16384	20480	4096	4096
245	test_line_000725	725	5	chicken	chr3	20480	24576	4096	4096
246	test_line_000726	726	6	chicken	chr3	24576	28672	4096	4096
247	test_line_000727	727	7	chicken	chr3	28672	32768	4096	4096
248	test_line_000728	728	8	chicken	chr3	32768	36864	4096	4096
249	test_line_000729	729	9	chicken	chr3	36864	40960	4096	4096
250	test_line_000730	730	10	chicken	chr3	40960	45056	4096	4096
251	test_line_000731	731	11	chicken	chr3	45056	49152	4096	4096
252	test_line_000732	732	12	chicken	chr3	49152	53248	4096	4096
253	test_line_000733	733	13	chicken	chr3	53248	57344	4096	4096
254	test_line_000734	734	14	chicken	chr3	57344	61440	4096	4096
255	test_line_000735	735	15	chicken	chr3	61440	65536	4096	4096
256	test_line_000736	736	16	chicken	chr3	65536	69632	4096	4096
257	test_line_000737	737	17	chicken	chr3	69632	73728	4096	4096
258	test_line_000738	738	18	chicken	chr3	73728	77824	4096	4096
259	test_line_000739	739	19	chicken	chr3	77824	81920	4096	4096
260	test_line_000740	740	20	chicken	chr3	81920	86016	4096	4096
261	test_line_000741	741	21	chicken	chr3	86016	90112	4096	4096
262	test_line_000742	742	22	chicken	chr3	90112	94208	4096	4096
263	test_line_000743	743	23	chicken	chr3	94208	98304	4096	4096
264	test_line_000744	744	24	chicken	chr3	98304	102400	4096	4096
265	test_line_000745	745	25	chicken	chr3	102400	106496	4096	4096
266	test_line_000746	746	26	chicken	chr3	106496	110592	4096	4096
267	test_line_000747	747	27	chicken	chr3	110592	114688	4096	4096
268	test_line_000748	748	28	chicken	chr3	114688	118784	4096	4096
269	test_line_000749	749	29	chicken	chr3	118784	122880	4096	4096
270	test_line_000750	750	30	chicken	chr3	122880	126976	4096	4096
271	test_line_000751	751	31	chicken	chr3	126976	131072	4096	4096
272	test_line_000752	752	32	chicken	chr3	131072	135168	4096	4096
273	test_line_000753	753	33	chicken	chr3	135168	139264	4096	4096
274	test_line_000754	754	34	chicken	chr3	139264	143360	4096	4096
275	test_line_000755	755	35	chicken	chr3	143360	147456	4096	4096
276	test_line_000756	756	36	chicken	chr3	147456	151552	4096	4096
277	test_line_000757	757	37	chicken	chr3	151552	155648	4096	4096
278	test_line_000758	758	38	chicken	chr3	155648	159744	4096	4096
279	test_line_000759	759	39	chicken	chr3	159744	163840	4096	4096
280	test_line_000760	760	40	chicken	chr3	163840	167936	4096	4096
281	test_line_000761	761	41	chicken	chr3	167936	172032	4096	4096
282	test_line_000762	762	42	chicken	chr3	172032	176128	4096	4096
283	test_line_000763	763	43	chicken	chr3	176128	180224	4096	4096
284	test_line_000764	764	44	chicken	chr3	180224	184320	4096	4096
285	test_line_000765	765	45	chicken	chr3	184320	188416	4096	4096
286	test_line_000766	766	46	chicken	chr3	188416	192512	4096	4096
287	test_line_000767	767	47	chicken	chr3	192512	196608	4096	4096
288	test_line_000768	768	48	chicken	chr3	196608	200704	4096	4096
289	test_line_000769	769	49	chicken	chr3	200704	204800	4096	4096
290	test_line_000770	770	50	chicken	chr3	204800	208896	4096	4096
291	test_line_000771	771	51	chicken	chr3	208896	212992	4096	4096
292	test_line_000772	772	52	chicken	chr3	212992	217088	4096	4096
293	test_line_000773	773	53	chicken	chr3	217088	221184	4096	4096
294	test_line_000774	774	54	chicken	chr3	221184	225280	4096	4096
295	test_line_000775	775	55	chicken	chr3	225280	229376	4096	4096
296	test_line_000776	776	56	chicken	chr3	229376	233472	4096	4096
297	test_line_000777	777	57	chicken	chr3	233472	237568	4096	4096
298	test_line_000778	778	58	chicken	chr3	237568	241664	4096	4096
299	test_line_000779	779	59	chicken	chr3	241664	245760	4096	4096
300	test_line_000780	780	60	chicken	chr3	245760	249856	4096	4096
301	test_line_000781	781	61	chicken	chr3	249856	253952	4096	4096
302	test_line_000782	782	62	chicken	chr3	253952	258048	4096	4096
303	test_line_000783	783	63	chicken	chr3	258048	262144	4096	4096
304	test_line_000784	784	64	chicken	chr3	262144	266240	4096	4096
305	test_line_000785	785	65	chicken	chr3	266240	270336	4096	4096
306	test_line_000786	786	66	chicken	chr3	270336	274432	4096	4096
307	test_line_000787	787	67	chicken	chr3	274432	278528	4096	4096
308	test_line_000788	788	68	chicken	chr3	278528	282624	4096	4096
309	test_line_000789	789	69	chicken	chr3	282624	286720	4096	4096
310	test_line_000790	790	70	chicken	chr3	286720	290816	4096	4096
311	test_line_000791	791	71	chicken	chr3	290816	294912	4096	4096
312	test_line_000792	792	72	chicken	chr3	294912	299008	4096	4096
313	test_line_000793	793	73	chicken	chr3	299008	303104	4096	4096
314	test_line_000794	794	74	chicken	chr3	303104	307200	4096	4096
315	test_line_000795	795	75	chicken	chr3	307200	311296	4096	4096
316	test_line_000796	796	76	chicken	chr3	311296	315392	4096	4096
317	test_line_000797	797	77	chicken	chr3	315392	319488	4096	4096
318	test_line_000798	798	78	chicken	chr3	319488	323584	4096	4096
319	test_line_000799	799	79	chicken	chr3	323584	327680	4096	4096
320	test_line_000800	800	80	chicken	chr3	327680	331776	4096	4096
321	test_line_000801	801	81	chicken	chr3	331776	335872	4096	4096
322	test_line_000802	802	82	chicken	chr3	335872	339968	4096	4096
323	test_line_000803	803	83	chicken	chr3	339968	344064	4096	4096
324	test_line_000804	804	84	chicken	chr3	344064	348160	4096	4096
325	test_line_000805	805	85	chicken	chr3	348160	352256	4096	4096
326	test_line_000806	806	86	chicken	chr3	352256	356352	4096	4096
327	test_line_000807	807	87	chicken	chr3	356352	360448	4096	4096
328	test_line_000808	808	88	chicken	chr3	360448	364544	4096	4096
329	test_line_000809	809	89	chicken	chr3	364544	368640	4096	4096
330	test_line_000810	810	90	chicken	chr3	368640	372736	4096	4096
331	test_line_000811	811	91	chicken	chr3	372736	376832	4096	4096
332	test_line_000812	812	92	chicken	chr3	376832	380928	4096	4096
333	test_line_000813	813	93	chicken	chr3	380928	385024	4096	4096
334	test_line_000814	814	94	chicken	chr3	385024	389120	4096	4096
335	test_line_000815	815	95	chicken	chr3	389120	393216	4096	4096
336	test_line_000816	816	96	chicken	chr3	393216	397312	4096	4096
337	test_line_000817	817	97	chicken	chr3	397312	401408	4096	4096
338	test_line_000818	818	98	chicken	chr3	401408	405504	4096	4096
339	test_line_000819	819	99	chicken	chr3	405504	409600	4096	4096
340	test_line_000820	820	100	chicken	chr3	409600	413696	4096	4096
341	test_line_000821	821	101	chicken	chr3	413696	417792	4096	4096
342	test_line_000822	822	102	chicken	chr3	417792	421888	4096	4096
343	test_line_000823	823	103	chicken	chr3	421888	425984	4096	4096
344	test_line_000824	824	104	chicken	chr3	425984	430080	4096	4096
345	test_line_000825	825	105	chicken	chr3	430080	434176	4096	4096
346	test_line_000826	826	106	chicken	chr3	434176	438272	4096	4096
347	test_line_000827	827	107	chicken	chr3	438272	442368	4096	4096
348	test_line_000828	828	108	chicken	chr3	442368	446464	4096	4096
349	test_line_000829	829	109	chicken	chr3	446464	450560	4096	4096
350	test_line_000830	830	110	chicken	chr3	450560	454656	4096	4096
351	test_line_000831	831	111	chicken	chr3	454656	458752	4096	4096
352	test_line_000832	832	112	chicken	chr3	458752	462848	4096	4096
353	test_line_000833	833	113	chicken	chr3	462848	466944	4096	4096
354	test_line_000834	834	114	chicken	chr3	466944	471040	4096	4096
355	test_line_000835	835	115	chicken	chr3	471040	475136	4096	4096
356	test_line_000836	836	116	chicken	chr3	475136	479232	4096	4096
357	test_line_000837	837	117	chicken	chr3	479232	483328	4096	4096
358	test_line_000838	838	118	chicken	chr3	483328	487424	4096	4096
359	test_line_000839	839	119	chicken	chr3	487424	491520	4096	4096
360	test_line_001080	1080	0	western_clawed_frog	chr5	0	4096	4096	4096
361	test_line_001081	1081	1	western_clawed_frog	chr5	4096	8192	4096	4096
362	test_line_001082	1082	2	western_clawed_frog	chr5	8192	12288	4096	4096
363	test_line_001083	1083	3	western_clawed_frog	chr5	12288	16384	4096	4096
364	test_line_001084	1084	4	western_clawed_frog	chr5	16384	20480	4096	4096
365	test_line_001085	1085	5	western_clawed_frog	chr5	20480	24576	4096	4096
366	test_line_001086	1086	6	western_clawed_frog	chr5	24576	28672	4096	4096
367	test_line_001087	1087	7	western_clawed_frog	chr5	28672	32768	4096	4096
368	test_line_001088	1088	8	western_clawed_frog	chr5	32768	36864	4096	4096
369	test_line_001089	1089	9	western_clawed_frog	chr5	36864	40960	4096	4096
370	test_line_001090	1090	10	western_clawed_frog	chr5	40960	45056	4096	4096
371	test_line_001091	1091	11	western_clawed_frog	chr5	45056	49152	4096	4096
372	test_line_001092	1092	12	western_clawed_frog	chr5	49152	53248	4096	4096
373	test_line_001093	1093	13	western_clawed_frog	chr5	53248	57344	4096	4096
374	test_line_001094	1094	14	western_clawed_frog	chr5	57344	61440	4096	4096
375	test_line_001095	1095	15	western_clawed_frog	chr5	61440	65536	4096	4096
376	test_line_001096	1096	16	western_clawed_frog	chr5	65536	69632	4096	4096
377	test_line_001097	1097	17	western_clawed_frog	chr5	69632	73728	4096	4096
378	test_line_001098	1098	18	western_clawed_frog	chr5	73728	77824	4096	4096
379	test_line_001099	1099	19	western_clawed_frog	chr5	77824	81920	4096	4096
380	test_line_001100	1100	20	western_clawed_frog	chr5	81920	86016	4096	4096
381	test_line_001101	1101	21	western_clawed_frog	chr5	86016	90112	4096	4096
382	test_line_001102	1102	22	western_clawed_frog	chr5	90112	94208	4096	4096
383	test_line_001103	1103	23	western_clawed_frog	chr5	94208	98304	4096	4096
384	test_line_001104	1104	24	western_clawed_frog	chr5	98304	102400	4096	4096
385	test_line_001105	1105	25	western_clawed_frog	chr5	102400	106496	4096	4096
386	test_line_001106	1106	26	western_clawed_frog	chr5	106496	110592	4096	4096
387	test_line_001107	1107	27	western_clawed_frog	chr5	110592	114688	4096	4096
388	test_line_001108	1108	28	western_clawed_frog	chr5	114688	118784	4096	4096
389	test_line_001109	1109	29	western_clawed_frog	chr5	118784	122880	4096	4096
390	test_line_001110	1110	30	western_clawed_frog	chr5	122880	126976	4096	4096
391	test_line_001111	1111	31	western_clawed_frog	chr5	126976	131072	4096	4096
392	test_line_001112	1112	32	western_clawed_frog	chr5	131072	135168	4096	4096
393	test_line_001113	1113	33	western_clawed_frog	chr5	135168	139264	4096	4096
394	test_line_001114	1114	34	western_clawed_frog	chr5	139264	143360	4096	4096
395	test_line_001115	1115	35	western_clawed_frog	chr5	143360	147456	4096	4096
396	test_line_001116	1116	36	western_clawed_frog	chr5	147456	151552	4096	4096
397	test_line_001117	1117	37	western_clawed_frog	chr5	151552	155648	4096	4096
398	test_line_001118	1118	38	western_clawed_frog	chr5	155648	159744	4096	4096
399	test_line_001119	1119	39	western_clawed_frog	chr5	159744	163840	4096	4096
