family	state	dfam_exact_name_record_count	dfam_ids	dfam_accessions	rm_entry_count_by_accession	rm_accessions	rm_names_by_accession	generated_fragment_rows	generated_raw_fragment_bp	generated_union_bp
Blastopia_I	matched	1	"[""DF000001544""]"	"[""DF000001544""]"	1	"[""DF000001544.4""]"	"[""Blastopia_I""]"	72	20938	20938
Blastopia_LTR	matched	1	"[""DF000001545""]"	"[""DF000001545""]"	1	"[""DF000001545.3""]"	"[""Blastopia_LTR""]"	196	52969	52969
Blood_I	matched	1	"[""DF000001546""]"	"[""DF000001546""]"	1	"[""DF000001546.3""]"	"[""Blood_I""]"	47	51642	51642
Blood_LTR	matched	1	"[""DF000001547""]"	"[""DF000001547""]"	1	"[""DF000001547.3""]"	"[""Blood_LTR""]"	212	65907	65907
Burdock_I	matched	1	"[""DF000001552""]"	"[""DF000001552""]"	1	"[""DF000001552.4""]"	"[""Burdock_I""]"	18	6312	6312
Burdock_LTR	matched	1	"[""DF000001553""]"	"[""DF000001553""]"	1	"[""DF000001553.3""]"	"[""Burdock_LTR""]"	143	35043	35043
Chimpo_I	matched	1	"[""DF000001554""]"	"[""DF000001554""]"	1	"[""DF000001554.3""]"	"[""Chimpo_I""]"	127	100689	100689
Chimpo_LTR	matched	1	"[""DF000001555""]"	"[""DF000001555""]"	1	"[""DF000001555.3""]"	"[""Chimpo_LTR""]"	541	65323	65323
Chouto_I	matched	1	"[""DF000001556""]"	"[""DF000001556""]"	1	"[""DF000001556.3""]"	"[""Chouto_I""]"	38	18557	18557
Chouto_LTR1	matched	1	"[""DF000001557""]"	"[""DF000001557""]"	1	"[""DF000001557.3""]"	"[""Chouto_LTR1""]"	65	37707	37707
Chouto_LTR2	matched	1	"[""DF003894009""]"	"[""DF003894009""]"	1	"[""DF003894009.2""]"	"[""Chouto_LTR2""]"	71	31382	31382
Circe_I_Dmel	matched	1	"[""DF003894043""]"	"[""DF003894043""]"	1	"[""DF003894043.2""]"	"[""Circe_I_Dmel""]"	141	134592	134592
Circe_LTR1_Dmel	matched	1	"[""DF000001558""]"	"[""DF000001558""]"	1	"[""DF000001558.3""]"	"[""Circe_LTR1_Dmel""]"	130	93427	93427
Circe_LTR2_Dmel	matched	1	"[""DF003894019""]"	"[""DF003894019""]"	1	"[""DF003894019.2""]"	"[""Circe_LTR2_Dmel""]"	229	108184	108184
Copia-1_DSec-I	matched	1	"[""DF003894018""]"	"[""DF003894018""]"	1	"[""DF003894018.2""]"	"[""Copia-1_DSec-I""]"	11	17416	17416
Copia-1_DSim-I	matched	1	"[""DF003894031""]"	"[""DF003894031""]"	1	"[""DF003894031.2""]"	"[""Copia-1_DSim-I""]"	45	27659	27659
Copia-1_DSim-LTR	matched	1	"[""DF003894010""]"	"[""DF003894010""]"	1	"[""DF003894010.2""]"	"[""Copia-1_DSim-LTR""]"	201	41658	41658
Copia-1_Dmel-I	matched	1	"[""DF000001559""]"	"[""DF000001559""]"	1	"[""DF000001559.3""]"	"[""Copia-1_Dmel-I""]"	79	83115	83115
Copia-1_Dmel-LTR	matched	1	"[""DF000001560""]"	"[""DF000001560""]"	1	"[""DF000001560.3""]"	"[""Copia-1_Dmel-LTR""]"	71	13341	13341
Copia-1a_DSec-LTR	matched	1	"[""DF003894008""]"	"[""DF003894008""]"	1	"[""DF003894008.2""]"	"[""Copia-1a_DSec-LTR""]"	15	963	963
Copia-1b_DSec-LTR	matched	1	"[""DF003894007""]"	"[""DF003894007""]"	1	"[""DF003894007.2""]"	"[""Copia-1b_DSec-LTR""]"	30	6369	6369
Copia-2_DMel-I	matched	1	"[""DF003894041""]"	"[""DF003894041""]"	1	"[""DF003894041.2""]"	"[""Copia-2_DMel-I""]"	298	118977	118977
Copia-2_DMel-LTR	matched	1	"[""DF003894011""]"	"[""DF003894011""]"	1	"[""DF003894011.2""]"	"[""Copia-2_DMel-LTR""]"	295	49507	49507
Copia-3_DM-I	matched	1	"[""DF003894022""]"	"[""DF003894022""]"	1	"[""DF003894022.2""]"	"[""Copia-3_DM-I""]"	72	9882	9882
Copia-3_DM-LTR	matched	1	"[""DF003894006""]"	"[""DF003894006""]"	1	"[""DF003894006.2""]"	"[""Copia-3_DM-LTR""]"	9	1827	1827
Copia-4_DMel-I	matched	1	"[""DF003894021""]"	"[""DF003894021""]"	1	"[""DF003894021.2""]"	"[""Copia-4_DMel-I""]"	47	42293	42293
Copia-4_DMel-LTR	matched	1	"[""DF003894012""]"	"[""DF003894012""]"	1	"[""DF003894012.2""]"	"[""Copia-4_DMel-LTR""]"	115	16806	16806
Copia2_I	matched	1	"[""DF000001561""]"	"[""DF000001561""]"	1	"[""DF000001561.3""]"	"[""Copia2_I""]"	223	225716	225716
Copia2_LTR_DM	matched	1	"[""DF000001562""]"	"[""DF000001562""]"	1	"[""DF000001562.3""]"	"[""Copia2_LTR_DM""]"	510	78782	78782
Copia_I	matched	1	"[""DF000001563""]"	"[""DF000001563""]"	1	"[""DF000001563.3""]"	"[""Copia_I""]"	199	58875	58875
Copia_LTR	matched	1	"[""DF000001564""]"	"[""DF000001564""]"	1	"[""DF000001564.3""]"	"[""Copia_LTR""]"	132	32070	32070
DM1731_I	matched	1	"[""DF000001569""]"	"[""DF000001569""]"	1	"[""DF000001569.3""]"	"[""DM1731_I""]"	104	99532	99532
DM1731_LTR	matched	1	"[""DF000001570""]"	"[""DF000001570""]"	1	"[""DF000001570.3""]"	"[""DM1731_LTR""]"	341	89101	89101
DM176_I	matched	1	"[""DF000001571""]"	"[""DF000001571""]"	1	"[""DF000001571.3""]"	"[""DM176_I""]"	225	120958	120958
DM176_LTR	matched	1	"[""DF000001572""]"	"[""DF000001572""]"	1	"[""DF000001572.3""]"	"[""DM176_LTR""]"	217	62454	62454
DM297_I	matched	1	"[""DF000001573""]"	"[""DF000001573""]"	1	"[""DF000001573.3""]"	"[""DM297_I""]"	233	109377	109377
DM297_LTR	matched	1	"[""DF000001574""]"	"[""DF000001574""]"	1	"[""DF000001574.3""]"	"[""DM297_LTR""]"	536	153286	153286
DM297like_I	matched	1	"[""DF003894062""]"	"[""DF003894062""]"	1	"[""DF003894062.2""]"	"[""DM297like_I""]"	212	112380	112380
DM297like_LTR	matched	1	"[""DF003894015""]"	"[""DF003894015""]"	1	"[""DF003894015.2""]"	"[""DM297like_LTR""]"	257	47972	47972
DM412B_LTR	matched	1	"[""DF000001576""]"	"[""DF000001576""]"	1	"[""DF000001576.3""]"	"[""DM412B_LTR""]"	139	62762	62762
DM412C_LTR	matched	1	"[""DF003894014""]"	"[""DF003894014""]"	1	"[""DF003894014.2""]"	"[""DM412C_LTR""]"	117	49299	49299
DM412_I	matched	1	"[""DF000001575""]"	"[""DF000001575""]"	1	"[""DF000001575.3""]"	"[""DM412_I""]"	45	39365	39365
DMCR1A	matched	1	"[""DF000001577""]"	"[""DF000001577""]"	1	"[""DF000001577.3""]"	"[""DMCR1A""]"	4796	2160052	2160052
DMRP1	matched	1	"[""DF000001579""]"	"[""DF000001579""]"	1	"[""DF000001579.3""]"	"[""DMRP1""]"	765	153520	153520
DMRT1A	matched	1	"[""DF000001581""]"	"[""DF000001581""]"	1	"[""DF000001581.3""]"	"[""DMRT1A""]"	607	697132	697132
DMRT1B	matched	1	"[""DF000001582""]"	"[""DF000001582""]"	1	"[""DF000001582.3""]"	"[""DMRT1B""]"	1321	1468739	1468739
DMRT1C	matched	1	"[""DF000001583""]"	"[""DF000001583""]"	1	"[""DF000001583.3""]"	"[""DMRT1C""]"	588	373942	373942
DMTOM1_I	matched	1	"[""DF003894059""]"	"[""DF003894059""]"	1	"[""DF003894059.2""]"	"[""DMTOM1_I""]"	210	108245	108245
DMTOM1_LTR	matched	1	"[""DF000001585""]"	"[""DF000001585""]"	1	"[""DF000001585.3""]"	"[""DMTOM1_LTR""]"	107	35185	35185
DNAREP1_DM	matched	1	"[""DF000001586""]"	"[""DF000001586""]"	1	"[""DF000001586.3""]"	"[""DNAREP1_DM""]"	35889	5717699	5717699
DOC	matched	1	"[""DF000001587""]"	"[""DF000001587""]"	1	"[""DF000001587.3""]"	"[""DOC""]"	757	1205525	1205525
DOC2_DM	matched	1	"[""DF000001588""]"	"[""DF000001588""]"	1	"[""DF000001588.3""]"	"[""DOC2_DM""]"	359	283225	283225
DOC3_DM	matched	1	"[""DF000001589""]"	"[""DF000001589""]"	1	"[""DF000001589.3""]"	"[""DOC3_DM""]"	730	525515	525515
DOC4_DM	matched	1	"[""DF000001590""]"	"[""DF000001590""]"	1	"[""DF000001590.3""]"	"[""DOC4_DM""]"	240	113583	113583
DOC5_DM	matched	1	"[""DF000001591""]"	"[""DF000001591""]"	1	"[""DF000001591.4""]"	"[""DOC5_DM""]"	300	160854	160854
DOC6_DM	matched	1	"[""DF000001592""]"	"[""DF000001592""]"	1	"[""DF000001592.3""]"	"[""DOC6_DM""]"	32	35543	35543
Diver2_I	matched	1	"[""DF000001565""]"	"[""DF000001565""]"	1	"[""DF000001565.3""]"	"[""Diver2_I""]"	737	583626	583626
Diver2_LTR	matched	1	"[""DF000001566""]"	"[""DF000001566""]"	1	"[""DF000001566.3""]"	"[""Diver2_LTR""]"	699	204537	204537
Diver3-I	matched	1	"[""DF003894033""]"	"[""DF003894033""]"	1	"[""DF003894033.2""]"	"[""Diver3-I""]"	343	132626	132626
Diver3-LTR	matched	1	"[""DF003894017""]"	"[""DF003894017""]"	1	"[""DF003894017.2""]"	"[""Diver3-LTR""]"	1091	200808	200808
Diver3N-I	matched	1	"[""DF003894024""]"	"[""DF003894024""]"	1	"[""DF003894024.2""]"	"[""Diver3N-I""]"	136	79458	79458
Diver_I	matched	1	"[""DF000001567""]"	"[""DF000001567""]"	1	"[""DF000001567.3""]"	"[""Diver_I""]"	118	89832	89832
Diver_LTR	matched	1	"[""DF000001568""]"	"[""DF000001568""]"	1	"[""DF000001568.3""]"	"[""Diver_LTR""]"	424	76027	76027
FW2_DM	matched	1	"[""DF000001598""]"	"[""DF000001598""]"	1	"[""DF000001598.4""]"	"[""FW2_DM""]"	102	63849	63849
FW3_DM	matched	1	"[""DF000001599""]"	"[""DF000001599""]"	1	"[""DF000001599.3""]"	"[""FW3_DM""]"	196	61571	61571
FW_DM	matched	1	"[""DF003894070""]"	"[""DF003894070""]"	1	"[""DF003894070.2""]"	"[""FW_DM""]"	1289	1726282	1726282
Frogger_I	matched	1	"[""DF000001594""]"	"[""DF000001594""]"	1	"[""DF000001594.4""]"	"[""Frogger_I""]"	32	1504	1504
Frogger_LTR	matched	1	"[""DF000001595""]"	"[""DF000001595""]"	1	"[""DF000001595.3""]"	"[""Frogger_LTR""]"	54	10535	10535
G1_DM	matched	1	"[""DF003894029""]"	"[""DF003894029""]"	1	"[""DF003894029.2""]"	"[""G1_DM""]"	170	87314	87314
G2_DM	matched	1	"[""DF000001600""]"	"[""DF000001600""]"	1	"[""DF000001600.3""]"	"[""G2_DM""]"	1243	680593	680593
G3_DM	matched	1	"[""DF000001601""]"	"[""DF000001601""]"	1	"[""DF000001601.4""]"	"[""G3_DM""]"	175	81228	81228
G4_DM	matched	1	"[""DF000001602""]"	"[""DF000001602""]"	1	"[""DF000001602.4""]"	"[""G4_DM""]"	402	144100	144100
G5A_DM	matched	1	"[""DF000001603""]"	"[""DF000001603""]"	1	"[""DF000001603.4""]"	"[""G5A_DM""]"	600	285537	285537
G5_DM	matched	1	"[""DF000001604""]"	"[""DF000001604""]"	1	"[""DF000001604.3""]"	"[""G5_DM""]"	429	251033	251033
G6_DM	matched	1	"[""DF000001605""]"	"[""DF000001605""]"	1	"[""DF000001605.4""]"	"[""G6_DM""]"	608	318282	318282
G7_DM	matched	1	"[""DF000001606""]"	"[""DF000001606""]"	1	"[""DF000001606.4""]"	"[""G7_DM""]"	81	22391	22391
GATE-1_I	matched	1	"[""DF000001539""]"	"[""DF000001539""]"	1	"[""DF000001539.6""]"	"[""GATE-1_I""]"	310	301014	301014
GATE-1_LTR	matched	1	"[""DF000001540""]"	"[""DF000001540""]"	1	"[""DF000001540.3""]"	"[""GATE-1_LTR""]"	601	137138	137138
GATE-2_I	matched	1	"[""DF003894085""]"	"[""DF003894085""]"	1	"[""DF003894085.2""]"	"[""GATE-2_I""]"	788	335195	335195
GATE-2_LTR	matched	1	"[""DF003894189""]"	"[""DF003894189""]"	1	"[""DF003894189.2""]"	"[""GATE-2_LTR""]"	792	188671	188671
GTWIN2_I	matched	1	"[""DF003894039""]"	"[""DF003894039""]"	1	"[""DF003894039.2""]"	"[""GTWIN2_I""]"	58	67348	67348
GTWIN2_LTR	matched	1	"[""DF003894023""]"	"[""DF003894023""]"	1	"[""DF003894023.2""]"	"[""GTWIN2_LTR""]"	114	53420	53420
GTWIN_I	matched	1	"[""DF000001608""]"	"[""DF000001608""]"	1	"[""DF000001608.4""]"	"[""GTWIN_I""]"	47	51634	51634
GTWIN_LTR	matched	1	"[""DF000001609""]"	"[""DF000001609""]"	1	"[""DF000001609.4""]"	"[""GTWIN_LTR""]"	167	45968	45968
G_DM	matched	1	"[""DF000001607""]"	"[""DF000001607""]"	1	"[""DF000001607.4""]"	"[""G_DM""]"	317	164726	164726
Gypsy-10_DMel-I	matched	1	"[""DF003894037""]"	"[""DF003894037""]"	1	"[""DF003894037.2""]"	"[""Gypsy-10_DMel-I""]"	87	80109	80109
Gypsy-10_DMel-LTR	matched	1	"[""DF003894026""]"	"[""DF003894026""]"	1	"[""DF003894026.2""]"	"[""Gypsy-10_DMel-LTR""]"	82	16779	16779
Gypsy-12_DMel-I	matched	1	"[""DF003894051""]"	"[""DF003894051""]"	1	"[""DF003894051.2""]"	"[""Gypsy-12_DMel-I""]"	19	3759	3759
Gypsy-12_DMel-LTR	matched	1	"[""DF003894032""]"	"[""DF003894032""]"	1	"[""DF003894032.2""]"	"[""Gypsy-12_DMel-LTR""]"	61	18787	18787
Gypsy-19_DMel_I	matched	1	"[""DF003894073""]"	"[""DF003894073""]"	1	"[""DF003894073.2""]"	"[""Gypsy-19_DMel_I""]"	65	47702	47702
Gypsy-19_DMel_LTR	matched	1	"[""DF003894034""]"	"[""DF003894034""]"	1	"[""DF003894034.2""]"	"[""Gypsy-19_DMel_LTR""]"	335	89027	89027
Gypsy-21_DMel-LTR	matched	1	"[""DF003894036""]"	"[""DF003894036""]"	1	"[""DF003894036.2""]"	"[""Gypsy-21_DMel-LTR""]"	88	24697	24697
Gypsy-21_Dros-I	matched	1	"[""DF003894056""]"	"[""DF003894056""]"	1	"[""DF003894056.2""]"	"[""Gypsy-21_Dros-I""]"	58	40071	40071
Gypsy-24_DMel-I	matched	1	"[""DF003894060""]"	"[""DF003894060""]"	1	"[""DF003894060.2""]"	"[""Gypsy-24_DMel-I""]"	29	55125	55125
Gypsy-24_DMel-LTR	matched	1	"[""DF003894040""]"	"[""DF003894040""]"	1	"[""DF003894040.2""]"	"[""Gypsy-24_DMel-LTR""]"	68	18189	18189
Gypsy-26_DMel-I	matched	1	"[""DF003894052""]"	"[""DF003894052""]"	1	"[""DF003894052.2""]"	"[""Gypsy-26_DMel-I""]"	49	39777	39777
Gypsy-26_DMel-LTR	matched	1	"[""DF003894042""]"	"[""DF003894042""]"	1	"[""DF003894042.2""]"	"[""Gypsy-26_DMel-LTR""]"	55	17890	17890
Gypsy-30_DMel-I	matched	1	"[""DF003894055""]"	"[""DF003894055""]"	1	"[""DF003894055.2""]"	"[""Gypsy-30_DMel-I""]"	36	24762	24762
Gypsy-30_DMel-LTR	matched	1	"[""DF003894044""]"	"[""DF003894044""]"	1	"[""DF003894044.2""]"	"[""Gypsy-30_DMel-LTR""]"	98	20937	20937
Gypsy-3_DMel-I	matched	1	"[""DF003894065""]"	"[""DF003894065""]"	1	"[""DF003894065.2""]"	"[""Gypsy-3_DMel-I""]"	82	37002	37002
Gypsy-3_DMel-LTR	matched	1	"[""DF003894049""]"	"[""DF003894049""]"	1	"[""DF003894049.2""]"	"[""Gypsy-3_DMel-LTR""]"	74	13820	13820
Gypsy-3a_DMel-I	matched	1	"[""DF003894071""]"	"[""DF003894071""]"	1	"[""DF003894071.2""]"	"[""Gypsy-3a_DMel-I""]"	120	90041	90041
Gypsy-3a_DMel-LTR	matched	1	"[""DF003894045""]"	"[""DF003894045""]"	1	"[""DF003894045.2""]"	"[""Gypsy-3a_DMel-LTR""]"	111	25245	25245
Gypsy-50_Dros-LTR	matched	1	"[""DF003894067""]"	"[""DF003894067""]"	1	"[""DF003894067.2""]"	"[""Gypsy-50_Dros-LTR""]"	9	13308	13308
Gypsy-51_Dere_I	matched	1	"[""DF003894074""]"	"[""DF003894074""]"	1	"[""DF003894074.2""]"	"[""Gypsy-51_Dere_I""]"	119	90609	90609
Gypsy-51_Dere_LTR	matched	1	"[""DF003894057""]"	"[""DF003894057""]"	1	"[""DF003894057.2""]"	"[""Gypsy-51_Dere_LTR""]"	30	6026	6026
Gypsy-51_Dmel_I	matched	1	"[""DF003894072""]"	"[""DF003894072""]"	1	"[""DF003894072.2""]"	"[""Gypsy-51_Dmel_I""]"	62	32794	32794
Gypsy-51_Dmel_LTR	matched	1	"[""DF003894058""]"	"[""DF003894058""]"	1	"[""DF003894058.2""]"	"[""Gypsy-51_Dmel_LTR""]"	85	16787	16787
Gypsy-8A_DMel-I	matched	1	"[""DF003894110""]"	"[""DF003894110""]"	1	"[""DF003894110.2""]"	"[""Gypsy-8A_DMel-I""]"	474	193004	193004
Gypsy-8_DMel-I	matched	1	"[""DF003894185""]"	"[""DF003894185""]"	1	"[""DF003894185.2""]"	"[""Gypsy-8_DMel-I""]"	200	179519	179519
Gypsy-8_DMel-LTR	matched	1	"[""DF003894084""]"	"[""DF003894084""]"	1	"[""DF003894084.2""]"	"[""Gypsy-8_DMel-LTR""]"	650	186677	186677
Gypsy-B_I	matched	1	"[""DF003894104""]"	"[""DF003894104""]"	1	"[""DF003894104.2""]"	"[""Gypsy-B_I""]"	172	129831	129831
Gypsy-B_LTR	matched	1	"[""DF003894075""]"	"[""DF003894075""]"	1	"[""DF003894075.2""]"	"[""Gypsy-B_LTR""]"	504	173497	173497
Gypsy10_I	matched	1	"[""DF000001610""]"	"[""DF000001610""]"	1	"[""DF000001610.3""]"	"[""Gypsy10_I""]"	69	15267	15267
Gypsy10_LTR	matched	1	"[""DF000001611""]"	"[""DF000001611""]"	1	"[""DF000001611.3""]"	"[""Gypsy10_LTR""]"	81	23654	23654
Gypsy10b_I	matched	1	"[""DF003894048""]"	"[""DF003894048""]"	1	"[""DF003894048.2""]"	"[""Gypsy10b_I""]"	32	7482	7482
Gypsy10b_LTR	matched	1	"[""DF003894025""]"	"[""DF003894025""]"	1	"[""DF003894025.2""]"	"[""Gypsy10b_LTR""]"	69	17050	17050
Gypsy11_DM-I	matched	1	"[""DF003894050""]"	"[""DF003894050""]"	1	"[""DF003894050.2""]"	"[""Gypsy11_DM-I""]"	102	60174	60174
Gypsy11_DM-LTR	matched	1	"[""DF003894028""]"	"[""DF003894028""]"	1	"[""DF003894028.2""]"	"[""Gypsy11_DM-LTR""]"	433	77212	77212
Gypsy11_I	matched	1	"[""DF000001612""]"	"[""DF000001612""]"	1	"[""DF000001612.4""]"	"[""Gypsy11_I""]"	1879	111539	111539
Gypsy11_LTR	matched	1	"[""DF000001613""]"	"[""DF000001613""]"	1	"[""DF000001613.3""]"	"[""Gypsy11_LTR""]"	53	13121	13121
Gypsy11_LTR2	matched	1	"[""DF003894030""]"	"[""DF003894030""]"	1	"[""DF003894030.2""]"	"[""Gypsy11_LTR2""]"	40	13944	13944
Gypsy12A_LTR	matched	1	"[""DF000001614""]"	"[""DF000001614""]"	1	"[""DF000001614.3""]"	"[""Gypsy12A_LTR""]"	705	192064	192064
Gypsy12_I	matched	1	"[""DF000001615""]"	"[""DF000001615""]"	1	"[""DF000001615.3""]"	"[""Gypsy12_I""]"	1006	735310	735310
Gypsy12_LTR	matched	1	"[""DF000001616""]"	"[""DF000001616""]"	1	"[""DF000001616.4""]"	"[""Gypsy12_LTR""]"	785	506370	506370
Gypsy1A_LTR	matched	1	"[""DF000001618""]"	"[""DF000001618""]"	1	"[""DF000001618.3""]"	"[""Gypsy1A_LTR""]"	54	22786	22786
Gypsy1B_LTR	matched	1	"[""DF003894035""]"	"[""DF003894035""]"	1	"[""DF003894035.2""]"	"[""Gypsy1B_LTR""]"	103	20061	20061
Gypsy2_I	matched	1	"[""DF000001619""]"	"[""DF000001619""]"	1	"[""DF000001619.3""]"	"[""Gypsy2_I""]"	192	170391	170391
Gypsy2_LTR	matched	1	"[""DF000001621""]"	"[""DF000001621""]"	1	"[""DF000001621.3""]"	"[""Gypsy2_LTR""]"	337	69242	69242
Gypsy3A_LTR	matched	1	"[""DF003894046""]"	"[""DF003894046""]"	1	"[""DF003894046.2""]"	"[""Gypsy3A_LTR""]"	108	27761	27761
Gypsy3C_LTR	matched	1	"[""DF003894047""]"	"[""DF003894047""]"	1	"[""DF003894047.2""]"	"[""Gypsy3C_LTR""]"	55	21377	21377
Gypsy3_I	matched	1	"[""DF000001623""]"	"[""DF000001623""]"	1	"[""DF000001623.4""]"	"[""Gypsy3_I""]"	96	72960	72960
Gypsy3_LTR	matched	1	"[""DF000001624""]"	"[""DF000001624""]"	1	"[""DF000001624.3""]"	"[""Gypsy3_LTR""]"	149	48398	48398
Gypsy4_I	matched	1	"[""DF000001625""]"	"[""DF000001625""]"	1	"[""DF000001625.4""]"	"[""Gypsy4_I""]"	27	32153	32153
Gypsy4_LTR	matched	1	"[""DF000001626""]"	"[""DF000001626""]"	1	"[""DF000001626.3""]"	"[""Gypsy4_LTR""]"	247	58303	58303
Gypsy4like1_LTR	matched	1	"[""DF003894053""]"	"[""DF003894053""]"	1	"[""DF003894053.2""]"	"[""Gypsy4like1_LTR""]"	22	8426	8426
Gypsy4like2_I	matched	1	"[""DF003894076""]"	"[""DF003894076""]"	1	"[""DF003894076.2""]"	"[""Gypsy4like2_I""]"	55	14872	14872
Gypsy4like2_LTR	matched	1	"[""DF003894054""]"	"[""DF003894054""]"	1	"[""DF003894054.2""]"	"[""Gypsy4like2_LTR""]"	59	18232	18232
Gypsy5A_I	matched	1	"[""DF003894098""]"	"[""DF003894098""]"	1	"[""DF003894098.2""]"	"[""Gypsy5A_I""]"	112	58117	58117
Gypsy5A_LTR	matched	1	"[""DF003894064""]"	"[""DF003894064""]"	1	"[""DF003894064.2""]"	"[""Gypsy5A_LTR""]"	156	39240	39240
Gypsy5_I	matched	1	"[""DF000001627""]"	"[""DF000001627""]"	1	"[""DF000001627.3""]"	"[""Gypsy5_I""]"	32	12029	12029
Gypsy5_LTR	matched	1	"[""DF000001628""]"	"[""DF000001628""]"	1	"[""DF000001628.3""]"	"[""Gypsy5_LTR""]"	203	40331	40331
Gypsy6A2_LTR	matched	1	"[""DF003894063""]"	"[""DF003894063""]"	1	"[""DF003894063.2""]"	"[""Gypsy6A2_LTR""]"	70	20771	20771
Gypsy6A_I	matched	1	"[""DF003894120""]"	"[""DF003894120""]"	1	"[""DF003894120.2""]"	"[""Gypsy6A_I""]"	110	125921	125921
Gypsy6A_LTR	matched	1	"[""DF000001629""]"	"[""DF000001629""]"	1	"[""DF000001629.3""]"	"[""Gypsy6A_LTR""]"	201	58589	58589
Gypsy6B1_LTR	matched	1	"[""DF003894069""]"	"[""DF003894069""]"	1	"[""DF003894069.2""]"	"[""Gypsy6B1_LTR""]"	130	46212	46212
Gypsy6B2_LTR	matched	1	"[""DF003894066""]"	"[""DF003894066""]"	1	"[""DF003894066.2""]"	"[""Gypsy6B2_LTR""]"	52	18741	18741
Gypsy6B_I	matched	1	"[""DF003894188""]"	"[""DF003894188""]"	1	"[""DF003894188.2""]"	"[""Gypsy6B_I""]"	45	54560	54560
Gypsy6S_I	matched	1	"[""DF003894087""]"	"[""DF003894087""]"	1	"[""DF003894087.2""]"	"[""Gypsy6S_I""]"	4	4844	4844
Gypsy6S_LTR	matched	1	"[""DF003894068""]"	"[""DF003894068""]"	1	"[""DF003894068.2""]"	"[""Gypsy6S_LTR""]"	97	30227	30227
Gypsy6_I	matched	1	"[""DF000001630""]"	"[""DF000001630""]"	1	"[""DF000001630.8""]"	"[""Gypsy6_I""]"	17	33734	33734
Gypsy6_LTR	matched	1	"[""DF000001631""]"	"[""DF000001631""]"	1	"[""DF000001631.3""]"	"[""Gypsy6_LTR""]"	93	29742	29742
