idx	species	label	label_name	cluster	rep_name
152	mouse	4	DNA	0	Zaphod3
153	mouse	3	LTR	0	ORR1B1
154	zebrafish	1	SINE	2	SINE3-1
155	mouse	2	LINE	3	L1MdMus_I
156	mouse	3	LTR	1	RLTR1D
157	mouse	2	LINE	3	Lx3A
158	mouse	2	LINE	3	Lx2
159	mouse	3	LTR	1	RMER1A
160	zebrafish	1	SINE	2	SINE3-1
161	mouse	2	LINE	3	L1Lx_III
162	mouse	4	DNA	0	hAT-4b_Ther
163	zebrafish	1	SINE	2	SINE3-1
164	mouse	4	DNA	0	Charlie1a
165	mouse	3	LTR	1	MMETn-int
166	zebrafish	1	SINE	2	SINE3-1
167	mouse	3	LTR	1	RLTR13D4
168	mouse	4	DNA	0	Tigger1
169	mouse	3	LTR	1	RLTR6B_Mm
170	mouse	4	DNA	0	RCHARR1
171	zebrafish	1	SINE	2	SINE3-1a
172	mouse	4	DNA	0	Charlie1a
173	zebrafish	1	SINE	2	SINE3-1
174	mouse	2	LINE	3	L1MdMus_I
175	mouse	2	LINE	3	L1MdA_III
176	mouse	3	LTR	1	RodERV21-int
177	mouse	4	DNA	0	Charlie29a
178	mouse	2	LINE	3	L1MdV_I
179	zebrafish	1	SINE	2	SINE3-1
180	zebrafish	1	SINE	2	SINE3-1a
181	mouse	4	DNA	0	Charlie1a
182	mouse	3	LTR	1	RodERV21-int
183	mouse	2	LINE	3	L1MdA_II
184	mouse	2	LINE	3	Lx3A
185	mouse	4	DNA	0	RCHARR1
186	zebrafish	1	SINE	2	SINE3-1
187	zebrafish	1	SINE	2	SINE3-1
188	mouse	4	DNA	0	BLACKJACK
189	mouse	4	DNA	0	Charlie5
190	mouse	4	DNA	0	Charlie25
191	mouse	4	DNA	0	Charlie8
192	mouse	4	DNA	0	RCHARR1
193	zebrafish	1	SINE	2	SINE3-1
194	mouse	4	DNA	0	BLACKJACK
195	mouse	2	LINE	3	L1MdFanc_I
196	mouse	3	LTR	1	RMER13A
197	zebrafish	1	SINE	2	SINE3-1a
198	mouse	3	LTR	1	MERVL_2A-int
199	mouse	3	LTR	1	RLTR45-int
200	zebrafish	1	SINE	2	SINE3-1
201	zebrafish	1	SINE	2	SINE3-1a
202	mouse	4	DNA	0	Charlie1a
203	zebrafish	1	SINE	2	SINE3-1
204	mouse	2	LINE	2	Lx3A
205	mouse	3	LTR	1	ERVB4_1C-LTR_Mm
206	mouse	4	DNA	0	Tigger22N1
207	mouse	3	LTR	1	RMER3D-int
208	zebrafish	1	SINE	2	SINE3-1
209	mouse	2	LINE	3	L1MdA_III
210	zebrafish	1	SINE	2	SINE3-1a
211	mouse	4	DNA	0	Charlie1a
212	zebrafish	1	SINE	2	SINE3-1a
213	mouse	2	LINE	3	L1MdN_I
214	mouse	2	LINE	3	L1MdA_IV
215	zebrafish	1	SINE	2	SINE3-1
216	mouse	4	DNA	0	Arthur2
217	zebrafish	1	SINE	2	SINE3-1a
218	mouse	2	LINE	3	L1MdTf_I
219	zebrafish	1	SINE	2	SINE3-1
220	mouse	4	DNA	0	Charlie24
221	mouse	3	LTR	1	ETnERV-int
222	mouse	2	LINE	3	L1MdMus_I
223	zebrafish	1	SINE	2	SINE3-1a
224	mouse	3	LTR	1	RLTR17
225	mouse	3	LTR	1	RLTR13A1
226	mouse	3	LTR	1	RLTR20B4_MM
227	mouse	4	DNA	0	Tigger6a
228	mouse	2	LINE	3	L1MdGf_II
229	mouse	4	DNA	1	RCHARR1
230	mouse	3	LTR	1	RLTR13D5
231	zebrafish	1	SINE	2	SINE3-1
232	mouse	4	DNA	0	Arthur1
233	zebrafish	1	SINE	2	SINE3-1
234	mouse	3	LTR	1	RMER15
235	zebrafish	1	SINE	2	SINE3-1a
236	mouse	3	LTR	1	RMER1C
237	mouse	2	LINE	3	L1MdV_I
238	zebrafish	1	SINE	2	SINE3-1a
239	mouse	3	LTR	1	RMER16-int
240	mouse	4	DNA	0	RCHARR1
241	zebrafish	1	SINE	2	SINE3-1
242	mouse	4	DNA	0	MER63C
243	mouse	3	LTR	1	RLTR13D5
244	mouse	2	LINE	3	L1_Mur3
245	mouse	4	DNA	0	Charlie1a
246	mouse	4	DNA	0	RCHARR1
247	mouse	2	LINE	3	L1MdV_I
248	zebrafish	1	SINE	2	SINE3-1
249	mouse	2	LINE	3	L1MdV_I
250	mouse	2	LINE	3	L1M2
251	mouse	3	LTR	1	MMERVK10C-int
252	mouse	4	DNA	0	RCHARR1
253	zebrafish	1	SINE	2	SINE3-1
254	mouse	4	DNA	0	Charlie1a
255	mouse	1	SINE	2	PB1D11
256	mouse	4	DNA	0	RCHARR1
257	mouse	2	LINE	3	L1_Mur3
258	mouse	3	LTR	1	MYSERV-int
259	mouse	4	DNA	0	RCHARR1
260	mouse	3	LTR	1	RLTR4_MM-int
261	mouse	4	DNA	0	RCHARR1
262	mouse	4	DNA	0	Charlie25
263	mouse	4	DNA	0	Tigger1
264	mouse	3	LTR	1	RLTR13G
265	mouse	3	LTR	1	RLTR22_Mur
266	mouse	2	LINE	3	L1_Mur2
267	mouse	4	DNA	0	RCHARR1
268	mouse	2	LINE	3	Lx9
269	mouse	2	LINE	3	L1MdF_II
270	zebrafish	1	SINE	2	SINE3-1a
271	mouse	3	LTR	1	RMER17A2
272	mouse	4	DNA	0	FordPrefect
273	zebrafish	1	SINE	2	SINE3-1a
274	mouse	2	LINE	3	Lx9
275	mouse	4	DNA	0	Charlie10
276	zebrafish	1	SINE	2	SINE3-1a
277	zebrafish	1	SINE	1	SINE3-1
278	mouse	4	DNA	0	Charlie7
279	mouse	4	DNA	0	Tigger1
280	mouse	3	LTR	1	RodERV21-int
281	mouse	4	DNA	0	RCHARR1
282	mouse	2	LINE	3	Lx8
283	mouse	3	LTR	1	RLTR4_MM-int
284	zebrafish	1	SINE	2	SINE3-1a
285	mouse	4	DNA	0	Tigger1
286	zebrafish	1	SINE	2	SINE3-1
287	mouse	3	LTR	1	MTC-int
288	zebrafish	1	SINE	2	SINE3-1
289	zebrafish	1	SINE	2	SINE3-1a
290	zebrafish	1	SINE	2	SINE3-1
291	zebrafish	1	SINE	2	SINE3-1
292	mouse	3	LTR	1	MMETn-int
293	mouse	2	LINE	3	L1MdF_III
294	mouse	3	LTR	1	ETnERV2-int
295	mouse	2	LINE	3	L1_Rod
296	mouse	3	LTR	1	RLTR22_Mur
297	mouse	4	DNA	0	RCHARR1
298	zebrafish	1	SINE	2	SINE3-1
299	mouse	2	LINE	3	Lx
300	mouse	2	LINE	3	L1_Mur3
301	mouse	2	LINE	3	L1_Rod
302	mouse	3	LTR	1	RLTR13C1
303	mouse	4	DNA	0	RCHARR1
304	mouse	2	LINE	3	L1MdGf_II
305	mouse	2	LINE	1	L1MdF_II
306	mouse	2	LINE	3	L1MdF_IV
307	mouse	2	LINE	3	L1MdF_I
308	mouse	4	DNA	0	RCHARR1
309	zebrafish	1	SINE	2	SINE3-1a
310	mouse	2	LINE	3	L1MB3
311	mouse	4	DNA	0	Charlie2a
312	mouse	2	LINE	3	L1MdA_III
313	mouse	3	LTR	1	MMERVK9E_I
314	mouse	3	LTR	1	RLTR25A
315	mouse	4	DNA	0	Charlie1a
316	mouse	2	LINE	3	Lx9
317	mouse	3	LTR	1	RMER19B
318	mouse	3	LTR	1	IAPEz-int
319	mouse	3	LTR	1	ORR1B1
320	mouse	3	LTR	1	RMER3D-int
321	zebrafish	1	SINE	2	SINE3-1
322	mouse	4	DNA	0	Charlie1a
323	zebrafish	1	SINE	2	SINE3-1a
324	mouse	2	LINE	3	L1MdA_II
325	mouse	3	LTR	1	RLTR1B
326	mouse	1	SINE	2	B4A
327	mouse	2	LINE	3	Lx2
328	mouse	3	LTR	1	MTE2b
329	zebrafish	1	SINE	2	SINE3-1a
330	zebrafish	1	SINE	2	SINE3-1
331	mouse	2	LINE	3	L1MdF_V
332	zebrafish	1	SINE	2	SINE3-1a
333	zebrafish	1	SINE	2	SINE3-1a
334	mouse	3	LTR	1	RLTR20B3
335	mouse	2	LINE	3	L1MdV_I
336	mouse	4	DNA	0	Charlie10
337	mouse	3	LTR	1	RMER6C
338	mouse	2	LINE	3	Lx9
339	zebrafish	1	SINE	2	SINE3-1a
340	mouse	3	LTR	1	MTC-int
341	mouse	3	LTR	1	RLTR25A
342	mouse	2	LINE	3	L1MdGf_II
343	mouse	2	LINE	3	Lx7
344	zebrafish	1	SINE	2	SINE3-1a
345	mouse	3	LTR	1	IAPEy-int
346	mouse	3	LTR	1	MTE-int
347	mouse	2	LINE	3	L1MdF_V
348	zebrafish	1	SINE	2	SINE3-1a
349	mouse	4	DNA	0	Cheshire
350	zebrafish	1	SINE	2	SINE3-1
351	zebrafish	1	SINE	2	SINE3-1a
352	zebrafish	1	SINE	2	SINE3-1a
353	mouse	4	DNA	0	MER97c
354	mouse	3	LTR	1	MLTR25A
355	mouse	2	LINE	3	L1MdF_II
356	zebrafish	1	SINE	2	SINE3-1a
357	mouse	2	LINE	3	L1MdF_III
358	mouse	3	LTR	1	RLTR21
359	mouse	3	LTR	2	RLTR1B-int
360	mouse	4	DNA	0	Tigger1
361	mouse	3	LTR	1	MTD
362	mouse	2	LINE	3	L1_Mur1
363	zebrafish	1	SINE	2	SINE3-1a
364	mouse	4	DNA	0	Charlie17
365	zebrafish	1	SINE	2	SINE3-1
366	mouse	3	LTR	1	RMER17D2
367	mouse	4	DNA	0	BLACKJACK
368	zebrafish	1	SINE	2	SINE3-1
369	mouse	3	LTR	1	RLTR4_MM-int
370	mouse	4	DNA	0	MER20B
371	mouse	2	LINE	3	L1_Mur1
372	mouse	2	LINE	3	Lx2
373	mouse	2	LINE	3	L1MdV_III
374	mouse	3	LTR	1	MYSERV-int
375	mouse	4	DNA	0	RCHARR1
376	mouse	3	LTR	1	MTE2b
377	mouse	4	DNA	0	MER45B
378	zebrafish	1	SINE	2	SINE3-1a
379	mouse	2	LINE	3	L1MdFanc_I
380	mouse	2	LINE	3	L1MdF_I
381	mouse	4	DNA	0	Tigger1
382	mouse	3	LTR	0	RMER4B
383	mouse	2	LINE	3	Lx7
384	mouse	2	LINE	3	L1MdF_V
385	mouse	3	LTR	1	RLTR20B3
386	mouse	3	LTR	1	RMER6A
387	zebrafish	1	SINE	2	SINE3-1a
388	mouse	4	DNA	0	Tigger17
389	mouse	3	LTR	1	ORR1C1
390	mouse	2	LINE	3	Lx9
391	mouse	4	DNA	0	Zaphod
392	mouse	2	LINE	3	Lx4B
393	mouse	4	DNA	0	Tigger1
394	zebrafish	1	SINE	2	SINE3-1a
395	mouse	3	LTR	1	RLTR13C2
396	mouse	2	LINE	3	Lx
397	mouse	3	LTR	1	ORR1A3
398	mouse	2	LINE	3	Lx8
399	mouse	2	LINE	3	Lx8
400	mouse	2	LINE	3	L1M5
401	mouse	3	LTR	1	RLTR22_Mur
402	mouse	2	LINE	3	L1_Mur1
403	mouse	3	LTR	1	MYSERV16_I
404	mouse	2	LINE	3	L1MdV_I
405	mouse	4	DNA	0	Zaphod
406	zebrafish	1	SINE	2	SINE3-1a
407	mouse	3	LTR	1	RLTR45-int
408	mouse	4	DNA	0	RCHARR1
409	mouse	3	LTR	1	ERVB4_2-LTR_MM
410	mouse	4	DNA	0	Tigger1
411	mouse	3	LTR	1	RMER16-int
412	mouse	4	DNA	0	Charlie2b
413	mouse	2	LINE	0	L1MB3
414	mouse	2	LINE	3	Lx2
415	zebrafish	1	SINE	2	SINE3-1a
416	mouse	3	LTR	1	MMERVK9E_I
417	mouse	4	DNA	0	Arthur1
418	mouse	4	DNA	0	Charlie1
419	mouse	4	DNA	0	Tigger1
420	mouse	3	LTR	1	IAPEY3-int
421	mouse	3	LTR	1	MLTR32C_MM
422	mouse	4	DNA	0	BLACKJACK
423	mouse	3	LTR	1	ERVB4_2-LTR_MM
424	zebrafish	1	SINE	2	SINE3-1a
425	mouse	4	DNA	0	Charlie1a
426	mouse	4	DNA	0	Charlie1a
427	zebrafish	1	SINE	2	SINE3-1a
428	mouse	2	LINE	3	L1VL1
429	zebrafish	1	SINE	2	SINE3-1a
430	mouse	3	LTR	1	RMER16-int
431	mouse	2	LINE	3	L1MdV_I
432	mouse	4	DNA	0	Tigger1
433	mouse	3	LTR	1	MTD
434	mouse	3	LTR	1	ETnERV2-int
435	mouse	2	LINE	3	L1MdF_V
436	mouse	2	LINE	3	L1MdF_I
437	mouse	4	DNA	0	Arthur1
438	mouse	4	DNA	0	Arthur1
439	mouse	2	LINE	3	L1M4a1
440	mouse	2	LINE	3	L1MdF_IV
441	mouse	3	LTR	1	RMER19B
442	zebrafish	1	SINE	2	SINE3-1a
443	zebrafish	1	SINE	2	SINE3-1
444	mouse	2	LINE	3	Lx9
445	mouse	3	LTR	3	MLTR25A
446	zebrafish	1	SINE	2	SINE3-1
447	mouse	2	LINE	3	Lx8
448	zebrafish	1	SINE	2	SINE3-1
449	zebrafish	1	SINE	2	SINE3-1a
450	mouse	2	LINE	3	L1MdA_IV
451	mouse	3	LTR	1	MTA_Mm
452	mouse	4	DNA	0	AmnHarb1
453	mouse	3	LTR	1	RLTR34C_MM
454	mouse	4	DNA	0	Charlie24
455	mouse	3	LTR	1	RMER17B
456	mouse	3	LTR	1	RMER6C
457	mouse	4	DNA	0	Tigger17
458	mouse	4	DNA	0	MMAR1
459	mouse	4	DNA	0	Arthur1
460	zebrafish	1	SINE	2	SINE3-1a
461	mouse	4	DNA	0	RCHARR1
462	mouse	2	LINE	3	L1_Mur2
463	mouse	2	LINE	3	L1MdFanc_II
464	mouse	2	LINE	3	L1_Mur3
465	zebrafish	1	SINE	2	SINE3-1
466	mouse	3	LTR	3	RodERV21-int
467	zebrafish	1	SINE	2	SINE3-1a
468	zebrafish	1	SINE	2	SINE3-1
469	zebrafish	1	SINE	2	SINE3-1
470	mouse	4	DNA	0	Charlie1
471	mouse	4	DNA	0	Charlie1a
472	mouse	4	DNA	1	Cheshire
473	mouse	2	LINE	3	Lx3_Mus
474	mouse	2	LINE	3	L1M3
475	mouse	2	LINE	3	Lx3B
476	mouse	4	DNA	0	RCHARR1
477	mouse	4	DNA	0	Charlie13a
478	zebrafish	1	SINE	2	SINE3-1a
479	zebrafish	1	SINE	2	SINE3-1a
