species_code	kingdom	scientific_name	taxid	target_set	role_from_backup	priority_from_target_manifest	clade_group	genome_bp	annotation_status	has_te_interval_annotation	fasta_path	te_bed_path	repeats_bed_path	fasta_md5	source_label_regime	claim_eligible	claim_block_reason
green_anole	Animal	Anolis carolinensis		animal_a_train_core	train	A1	reptile	1799143587	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/anoCar2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/green_anole/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
human	Animal	Homo sapiens		human_anchor	test_production_anchor	A1	primate	3117292070	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/human/hs1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/human/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/human/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
medaka	Animal	Oryzias latipes		animal_a_train_core	train	A1	fish	869000216	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/medaka/oryLat2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/medaka/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/medaka/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
mouse	Animal	Mus musculus		animal_a_train_core	train	A1	mammal	2728222451	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/mm39.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/mouse/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
opossum	Animal	Monodelphis domestica		animal_a_train_core	train	A1	mammal	3605631728	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/opossum/monDom5.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
pig	Animal	Sus scrofa		animal_a_train_core	train	A1	mammal	2501912388	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/pig/susScr11.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/pig/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/pig/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
rat	Animal	Rattus norvegicus		animal_a_train_core	train	A1	mammal	2647915728	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/rat/rn7.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/rat/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/rat/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
red_flour_beetle	Animal	Tribolium castaneum		animal_a_train_core	train	A1	insect	199682416	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/triCas2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/red_flour_beetle/rmsk_repeats.bed.gz	d14d2766989d5581ff3dae8cb63c1386	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
silkworm	Animal	Bombyx mori		animal_a_train_core	train	A1	insect	460349660	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/silkworm/GCF_014905235.1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/silkworm/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/silkworm/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
spotted_gar	Animal	Lepisosteus oculatus		animal_a_train_core	train	A1	fish	945874548	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/spotted_gar/GCF_000242695.1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/spotted_gar/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/spotted_gar/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
three_spined_stickleback	Animal	Gasterosteus aculeatus		animal_a_train_core	train	A1	fish	463354448	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/three_spined_stickleback/gasAcu1.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
torafugu	Animal	Takifugu rubripes		animal_a_train_core	train	A1	fish	391484715	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/torafugu/fr3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/torafugu/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/torafugu/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
western_clawed_frog	Animal	Xenopus tropicalis		animal_a_train_core	train	A1	amphibian	1451301209	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/xenTro10.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/western_clawed_frog/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
zebra_finch	Animal	Taeniopygia guttata		animal_a_train_core	train	A1	bird	1232135591	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebra_finch/taeGut2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebra_finch/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebra_finch/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
zebrafish	Animal	Danio rerio		animal_a_train_core	train	A1	fish	1679203469	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/danRer11.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/zebrafish/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
amborella	Plant	Amborella trichopoda		plantte_train_core	train	A2	basal angiosperm	706332640	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/amborella/Amborella_trichopoda.AMTR1.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
banana	Plant	Musa acuminata		plantte_train_core	train	A2	monocot non-grass	450848473	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/banana/Musa_acuminata.Musa_acuminata_v2.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
barley	Plant	Hordeum vulgare		plantte_train_core	train	A2	monocot grass	4225577519	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/barley/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
barrel_medic	Plant	Medicago truncatula		plantte_train_core	train	A2	dicot	412800391	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/barrel_medic/Medicago_truncatula.MedtrA17_4.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
black_cottonwood	Plant	Populus trichocarpa		plantte_train_core	train	A2	dicot	392162179	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/black_cottonwood/Populus_trichocarpa.Pop_tri_v4.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/black_cottonwood/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/black_cottonwood/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
field_mustard	Plant	Brassica rapa		plantte_train_core	train	A2	dicot	283822783	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/field_mustard/Brassica_rapa.Brapa_1.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
foxtail_millet	Plant	Setaria italica		plantte_train_core	train	A2	monocot grass	405732883	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/foxtail_millet/Setaria_italica.Setaria_italica_v2.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
grape	Plant	Vitis vinifera		plantte_train_core	train	A2	dicot	494873210	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/grape/Vitis_vinifera.ASM3070453v1.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
longstamen_rice	Plant	Oryza longistaminata		current_extra_or_legacy	not_in_2026_05_22_target_manifest			326442508	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/longstamen_rice/Oryza_longistaminata.O_longistaminata_v1.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
maize	Plant	Zea mays		plantte_train_core	train	A2	monocot grass	2182075994	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/maize/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
marchantia	Plant	Marchantia polymorpha		plantte_train_core	train	A2	liverwort	248042680	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/marchantia/Marchantia_polymorpha.MpTak1_v7.1.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
pineapple	Plant	Ananas comosus		plantte_train_core	train	A2	monocot non-grass	315839004	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/pineapple/Ananas_comosus.F153.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
purple_false_brome	Plant	Brachypodium distachyon		plantte_train_core	train	A2	monocot grass	271298618	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/GCF_000005505.3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/purple_false_brome/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
raimond_cotton	Plant	Gossypium raimondii		plantte_train_core	train	A2	dicot	761405269	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/raimond_cotton/Gossypium_raimondii.Graimondii2_0_v6.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
rice	Plant	Oryza sativa		plantte_train_core	train	A2	monocot grass	375049285	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/rice/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
sorghum	Plant	Sorghum bicolor		plantte_train_core	train	A2	monocot grass	709344700	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/GCF_000003195.3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/sorghum/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
soybean	Plant	Glycine max		plantte_train_core	train	A2	dicot	978491270	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/Glycine_max.Glycine_max_v2.1.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/soybean/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
spikemoss	Plant	Selaginella moellendorffii		plantte_train_core	train	A2	lycophyte	212645483	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/spikemoss/Selaginella_moellendorffii.v1.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
spreading_earthmoss	Plant	Physcomitrium patens		plantte_train_core	train	A2	bryophyte	471852792	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/spreading_earthmoss/Physcomitrium_patens.Phypa_V3.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/spreading_earthmoss/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/spreading_earthmoss/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
thale_cress	Plant	Arabidopsis thaliana		plantte_train_core	train	A2	dicot	119667750	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/thale_cress/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
