candidate_id	seqname	strand	arms	intron_count	strict_supported_introns	strict_intron_fraction	all_introns_strict	stringtie_exact_intron_chain	stringtie_exact_intron_chain_any_strand	stringtie_exact_full_chain	stringtie_exact_full_chain_any_strand
cand_0000037	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE	4	4	1.000000	1	1	1	0	0
cand_0000038	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	14	14	1.000000	1	0	0	0	0
cand_0000039	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	6	5	0.833333	0	1	1	0	0
cand_0000040	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D	1	0	0.000000	0	0	0	0	0
cand_0000041	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	7	7	1.000000	1	1	1	0	0
cand_0000042	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D	17	7	0.411765	0	0	0	0	0
cand_0000043	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	35	3	0.085714	0	0	0	0	0
cand_0000044	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	D,R_TE,U_soft	1	0	0.000000	0	0	0	0	0
cand_0000045	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	15	0	0.000000	0	0	0	0	0
cand_0000046	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D,R_TE,U_soft	15	15	1.000000	1	1	1	0	0
cand_0000047	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	D	0	0		0	0	0	0	0
cand_0000048	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	15	0	0.000000	0	0	0	0	0
cand_0000049	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	29	17	0.586207	0	0	0	0	0
cand_0000050	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	5	2	0.400000	0	0	0	0	0
cand_0000051	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	6	2	0.333333	0	0	0	0	0
cand_0000052	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	U_soft	7	0	0.000000	0	0	0	0	0
cand_0000053	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	15	15	1.000000	1	0	0	0	0
cand_0000054	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000055	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	18	16	0.888889	0	0	0	0	0
cand_0000056	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	U_soft	3	2	0.666667	0	0	0	0	0
cand_0000057	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	R_TE,U_soft	2	0	0.000000	0	0	0	0	0
cand_0000058	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	U_soft	18	8	0.444444	0	0	0	0	0
cand_0000059	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	R_TE	23	18	0.782609	0	0	0	0	0
cand_0000060	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	R_TE	5	0	0.000000	0	0	0	0	0
cand_0000061	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	R_TE	0	0		0	0	0	0	0
cand_0000062	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	R_TE	1	0	0.000000	0	0	0	0	0
cand_0000063	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	+	R_TE	17	15	0.882353	0	0	0	0	0
cand_0000064	NC_041728.1|base_mask_core=0|core=59668672-64668672|halo=59568672-64768672	-	R_TE	19	8	0.421053	0	0	0	0	0
cand_0000065	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D	3	1	0.333333	0	0	0	0	0
cand_0000066	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D	1	0	0.000000	0	0	0	0	0
cand_0000067	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE,U_soft	8	0	0.000000	0	0	0	0	0
cand_0000068	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D	17	0	0.000000	0	0	0	0	0
cand_0000069	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE	0	0		0	0	0	0	0
cand_0000070	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE,U_soft	4	0	0.000000	0	0	0	0	0
cand_0000071	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE	9	9	1.000000	1	1	1	0	0
cand_0000072	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE	2	2	1.000000	1	1	1	0	0
cand_0000073	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D	30	25	0.833333	0	0	0	0	0
cand_0000074	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE,U_soft	5	3	0.600000	0	0	0	0	0
cand_0000075	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE,U_soft	6	0	0.000000	0	0	0	0	0
cand_0000076	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000077	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000078	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000079	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D	14	3	0.214286	0	0	0	0	0
cand_0000080	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE,U_soft	4	4	1.000000	1	0	0	0	0
cand_0000081	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE,U_soft	6	6	1.000000	1	0	0	0	0
cand_0000082	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE	0	0		0	0	0	0	0
cand_0000083	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	D,R_TE	0	0		0	0	0	0	0
cand_0000084	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE	1	0	0.000000	0	0	0	0	0
cand_0000085	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000086	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	U_soft	0	0		0	0	0	0	0
cand_0000087	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000088	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	U_soft	12	11	0.916667	0	0	0	0	0
cand_0000089	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	U_soft	29	26	0.896552	0	0	0	0	0
cand_0000090	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	U_soft	16	3	0.187500	0	0	0	0	0
cand_0000091	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	U_soft	0	0		0	0	0	0	0
cand_0000092	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	R_TE	1	0	0.000000	0	0	0	0	0
cand_0000093	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	R_TE	1	0	0.000000	0	0	0	0	0
cand_0000094	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	R_TE	16	0	0.000000	0	0	0	0	0
cand_0000095	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	R_TE	29	26	0.896552	0	0	0	0	0
cand_0000096	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	R_TE	3	0	0.000000	0	0	0	0	0
cand_0000097	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	R_TE	2	0	0.000000	0	0	0	0	0
cand_0000098	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	+	R_TE	9	3	0.333333	0	0	0	0	0
cand_0000099	NC_041728.1|base_mask_core=1|core=121837344-126837344|halo=121737344-126937344	-	R_TE	0	0		0	0	0	0	0
cand_0000100	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D	14	0	0.000000	0	0	0	0	0
cand_0000101	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000102	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	2	0	0.000000	0	0	0	0	0
cand_0000103	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D	1	0	0.000000	0	0	0	0	0
cand_0000104	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	6	6	1.000000	1	0	0	0	0
cand_0000105	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D,R_TE,U_soft	18	10	0.555556	0	0	0	0	0
cand_0000106	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000107	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D,R_TE	22	22	1.000000	1	1	1	0	0
cand_0000108	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000109	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE	1	0	0.000000	0	0	0	0	0
cand_0000110	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D	1	1	1.000000	1	1	1	0	0
cand_0000111	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D	72	1	0.013889	0	0	0	0	0
cand_0000112	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	2	2	1.000000	1	0	0	0	0
cand_0000113	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE	0	0		0	0	0	0	0
cand_0000114	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000115	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE	11	11	1.000000	1	1	1	0	0
cand_0000116	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	3	2	0.666667	0	0	0	0	0
cand_0000117	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE,U_soft	18	16	0.888889	0	0	0	0	0
cand_0000118	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE	14	0	0.000000	0	0	0	0	0
cand_0000119	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D,R_TE	10	8	0.800000	0	0	0	0	0
cand_0000120	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	D,R_TE	3	0	0.000000	0	1	1	0	0
cand_0000121	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	D	14	0	0.000000	0	0	0	0	0
cand_0000122	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	9	0	0.000000	0	0	0	0	0
cand_0000123	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000124	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	U_soft	23	21	0.913043	0	0	0	0	0
cand_0000125	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	2	0	0.000000	0	0	0	0	0
cand_0000126	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	U_soft	0	0		0	0	0	0	0
cand_0000127	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	R_TE,U_soft	1	0	0.000000	0	0	0	0	0
cand_0000128	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	71	1	0.014085	0	0	0	0	0
cand_0000129	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000130	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	11	10	0.909091	0	0	0	0	0
cand_0000131	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	U_soft	2	0	0.000000	0	0	0	0	0
cand_0000132	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	0	0		0	0	0	0	0
cand_0000133	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	18	0	0.000000	0	0	0	0	0
cand_0000134	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	U_soft	0	0		0	0	0	0	0
cand_0000135	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	+	U_soft	0	0		0	0	0	0	0
cand_0000136	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	R_TE	10	0	0.000000	0	0	0	0	0
cand_0000137	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	R_TE	72	1	0.013889	0	0	0	0	0
cand_0000138	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	R_TE	14	0	0.000000	0	0	0	0	0
cand_0000139	NC_041729.1|base_mask_core=0|core=54739887-59739887|halo=54639887-59839887	-	R_TE	0	0		0	0	0	0	0
cand_0000140	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE,U_soft	31	30	0.967742	0	1	1	0	0
cand_0000141	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE	1	0	0.000000	0	0	0	0	0
cand_0000142	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE,U_soft	5	0	0.000000	0	0	0	0	0
cand_0000143	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE	0	0		0	0	0	0	0
cand_0000144	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	6	6	1.000000	1	0	0	0	0
cand_0000145	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE,U_soft	6	6	1.000000	1	1	1	0	0
cand_0000146	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	8	8	1.000000	1	0	0	0	0
cand_0000147	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000148	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE	1	0	0.000000	0	0	0	0	0
cand_0000149	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE	9	8	0.888889	0	0	0	0	0
cand_0000150	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	7	7	1.000000	1	0	0	0	0
cand_0000151	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	12	12	1.000000	1	1	1	0	0
cand_0000152	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE,U_soft	6	0	0.000000	0	0	0	0	0
cand_0000153	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000154	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	D,R_TE,U_soft	2	0	0.000000	0	1	1	0	0
cand_0000155	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE,U_soft	4	0	0.000000	0	0	0	0	0
cand_0000156	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE	4	0	0.000000	0	0	0	0	0
cand_0000157	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,U_soft	0	0		0	0	0	0	0
cand_0000158	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE	0	0		0	0	0	0	0
cand_0000159	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	D,R_TE	0	0		0	0	0	0	0
cand_0000160	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	3	0	0.000000	0	0	0	0	0
cand_0000161	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	2	0	0.000000	0	0	0	0	0
cand_0000162	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	U_soft	2	0	0.000000	0	0	0	0	0
cand_0000163	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	U_soft	10	7	0.700000	0	0	0	0	0
cand_0000164	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	4	0	0.000000	0	0	0	0	0
cand_0000165	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	U_soft	0	0		0	0	0	0	0
cand_0000166	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	0	0		0	0	0	0	0
cand_0000167	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	-	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000168	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	0	0		0	0	0	0	0
cand_0000169	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	1	0	0.000000	0	0	0	0	0
cand_0000170	NC_041729.1|base_mask_core=1|core=111979775-116979775|halo=111879775-117079775	+	U_soft	0	0		0	0	0	0	0
cand_0000171	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	1	0	0.000000	0	0	0	0	0
cand_0000172	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D,R_TE,U_soft	0	0		0	0	0	0	0
cand_0000173	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	11	11	1.000000	1	0	0	0	0
cand_0000174	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	12	12	1.000000	1	1	1	0	0
cand_0000175	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	3	0	0.000000	0	0	0	0	0
cand_0000176	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D	3	0	0.000000	0	0	0	0	0
cand_0000177	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D	4	0	0.000000	0	0	0	0	0
cand_0000178	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D,R_TE,U_soft	2	0	0.000000	0	0	0	0	0
cand_0000179	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,U_soft	3	0	0.000000	0	0	0	0	0
cand_0000180	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D	2	0	0.000000	0	0	0	0	0
cand_0000181	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	10	0	0.000000	0	0	0	0	0
cand_0000182	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE	0	0		0	0	0	0	0
cand_0000183	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D,R_TE,U_soft	27	26	0.962963	0	0	0	0	0
cand_0000184	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	-	D,R_TE,U_soft	6	6	1.000000	1	0	0	0	0
cand_0000185	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D,R_TE	30	26	0.866667	0	0	0	0	0
cand_0000186	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D	4	0	0.000000	0	0	0	0	0
cand_0000187	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D	3	0	0.000000	0	0	0	0	0
cand_0000188	NC_041730.1|base_mask_core=0|core=44829027-49829027|halo=44729027-49929027	+	D,U_soft	3	0	0.000000	0	0	0	0	0
