source	model	species	te_f1	anchor_type	species_group	panel	n_chrom	sd_te_f1	stage	label_jaccard	ucsc_bp_covered_by_self	self_bp_covered_by_ucsc	self_merged_bp	ucsc_merged_bp	target_gc	distance_mya_proxy	log_distance_mya	same_group_anchor	genome_size_bp	contig_count	max_contig_bp	assembly_n50_bp	assembly_l50	n_fraction	sampled_gc	kmer_sampled_bases	log_genome_size_bp	log_contig_count	log_assembly_n50_bp	log_max_contig_bp	kmer_js_to_anchor_proto	kmer_cosine_to_anchor_proto
final_errorbar	ntv2_250m_w4096	c_elegans	0.1426005332526109	human_h0_ntv2_250m	other	animal_fine	3.0	0.0303152737505588		0.833784	0.964483	0.860195	10289793	9177183	0.3579248046875	900.0	2.9542425094393248	0	100286401	7	20924180	17493829	3	0.0	0.371376	1000000	8.001242045970857	0.8450980400142568	7.242884877035624	7.320648447384384	0.34487365632652284	0.3498680780416765
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	cattle	0.9216935615407684	animal	vertebrate				animal_invert_boost_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	1	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.1961603645512639	0.10458026546998644
calib_anchor	cross_supervised_4096	cattle	0.9213113792693672	cross	vertebrate				cross_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.18981934003118595	0.09142887456664595
calib_anchor	insect_no_beetle_4096	cattle	0.2681289424464008	insect	vertebrate				insect_no_beetle_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.2674695235796735	0.15873003482616
calib_anchor	plant_supervised_4096	cattle	0.0858809770068545	plant	vertebrate				plant_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0	2715853792	2211	158534110	103308737	12	0.0	0.438283	1000000	9.43390638599257	3.344588742578714	8.014137052114325	8.200122718862955	0.19391297430586885	0.08446292598809613
supp_h0_transfer	ntv2_500m_H0_w4096	chicken	0.8516226680157541	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752353	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.14489157076471465	0.0601428909585745
final_errorbar	ntv2_250m_w4096	chicken	0.843436719033926	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0193628216675568		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752353	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.14489157076471465	0.0601428909585745
final_errorbar	ntv3_100m_pre_w2048	chicken	0.6195493201860316	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0701786703401454		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0	1065365425	464	197608386	91315245	4	0.0017070808916752353	0.549823	1000000	9.027498598235026	2.6665179805548807	7.96054328866985	8.29580537100184	0.14489157076471465	0.0601428909585745
anchor_anchor	insect_no_beetle_4096	fruit_fly	0.944818571090276	insect	insect				insect_no_beetle_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.10016224884628028	0.025429742657864574
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	fruit_fly	0.9437257723304636	animal	insect				animal_invert_boost_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.07836315968024073	0.01574744911060011
anchor_anchor	cross_supervised_4096	fruit_fly	0.942393180917196	cross	insect				cross_supervised_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.0698216548368194	0.010677586553096696
anchor_anchor	insect_primary_4096	fruit_fly	0.9413841255319276	insect	insect				insect_primary_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.10016224884628028	0.025429742657864574
supp_h0_transfer	ntv2_500m_H0_w4096	fruit_fly	0.6577990369528225	human_h0_ntv2_500m	insect				transfer_BC_w4096	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712007
final_errorbar	ntv2_250m_w4096	fruit_fly	0.5533233517822065	human_h0_ntv2_250m	insect	animal_fine	3.0	0.0128215769678409		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712007
final_errorbar	ntv3_100m_pre_w2048	fruit_fly	0.4822229619104726	human_h0_ntv3_100m	insect	animal_fine	3.0	0.1825771233602698		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0	143726002	1870	32079331	25286936	3	0.0	0.441621	1000000	8.157535345055386	3.271841606536499	7.402896209379677	7.506225302690743	0.2474985795480165	0.15855331987712007
calib_anchor	cross_supervised_4096	horse	0.8925601404845789	cross	vertebrate				cross_supervised_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0	188260577	1	188260577	188260577	1	0.0010189606601266707	0.517305	1000000	8.27475938542357	0.0	8.27475938542357	8.27475938542357	0.20727336157499626	0.11754166032578828
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	horse	0.8913728851560259	animal	vertebrate				animal_invert_boost_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	1	188260577	1	188260577	188260577	1	0.0010189606601266707	0.517305	1000000	8.27475938542357	0.0	8.27475938542357	8.27475938542357	0.20560049783972223	0.12030899427577058
calib_anchor	insect_no_beetle_4096	horse	0.1869044858967403	insect	vertebrate				insect_no_beetle_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0	188260577	1	188260577	188260577	1	0.0010189606601266707	0.517305	1000000	8.27475938542357	0.0	8.27475938542357	8.27475938542357	0.2746396996501602	0.18504871566405257
calib_anchor	plant_supervised_4096	horse	0.1025602154105038	plant	vertebrate				plant_supervised_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0	188260577	1	188260577	188260577	1	0.0010189606601266707	0.517305	1000000	8.27475938542357	0.0	8.27475938542357	8.27475938542357	0.20269255878608985	0.1042618889160033
supp_h0_transfer	ntv2_500m_H0_w4096	human	0.961411324419745	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0	248387328	1	248387328	248387328	1	0.0	0.550911	1000000	8.395129435626702	0.0	8.395129435626702	8.395129435626702	0.0	-2.220446049250313e-16
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	human	0.904946115719272	animal	vertebrate				animal_invert_boost_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	1	248387328	1	248387328	248387328	1	0.0	0.550911	1000000	8.395129435626702	0.0	8.395129435626702	8.395129435626702	0.2473971321688795	0.16879769059899352
calib_anchor	cross_supervised_4096	human	0.9023446184329426	cross	vertebrate				cross_supervised_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0	248387328	1	248387328	248387328	1	0.0	0.550911	1000000	8.395129435626702	0.0	8.395129435626702	8.395129435626702	0.249220227348776	0.16858809960343235
calib_anchor	insect_no_beetle_4096	human	0.1477908337777611	insect	vertebrate				insect_no_beetle_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0	248387328	1	248387328	248387328	1	0.0	0.550911	1000000	8.395129435626702	0.0	8.395129435626702	8.395129435626702	0.30426050633791146	0.2325830037417954
calib_anchor	plant_supervised_4096	human	0.1214275571269181	plant	vertebrate				plant_supervised_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0	248387328	1	248387328	248387328	1	0.0	0.550911	1000000	8.395129435626702	0.0	8.395129435626702	8.395129435626702	0.24249159947423402	0.15392280641894307
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.13346417922896056	0.02694368637300626
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.13346417922896056	0.02694368637300626
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.13346417922896056	0.02694368637300626
calib_anchor	cross_supervised_4096	lizard	0.2400380045378313	cross	vertebrate				cross_supervised_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.12500777759382115	0.018695520940006483
anchor_anchor	cross_supervised_4096	lizard	0.2400380045378313	cross	vertebrate				cross_supervised_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.12500777759382115	0.018695520940006483
calib_anchor	cross_supervised_4096	lizard	0.2400378125654802	cross	vertebrate				cross_supervised_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.12500777759382115	0.018695520940006483
calib_anchor	plant_supervised_4096	lizard	0.1506094759615682	plant	vertebrate				plant_supervised_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.14370079057801816	0.0244025014930751
calib_anchor	plant_supervised_4096	lizard	0.1506082021187199	plant	vertebrate				plant_supervised_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.14370079057801816	0.0244025014930751
anchor_anchor	insect_no_beetle_4096	lizard	0.1418302477559669	insect	vertebrate				insect_no_beetle_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.22279308542657783	0.07633562618096068
calib_anchor	insect_no_beetle_4096	lizard	0.1418301390195415	insect	vertebrate				insect_no_beetle_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.22279308542657783	0.07633562618096068
calib_anchor	insect_no_beetle_4096	lizard	0.1418301390195415	insect	vertebrate				insect_no_beetle_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.22279308542657783	0.07633562618096068
anchor_anchor	insect_primary_4096	lizard	0.1034366102674265	insect	vertebrate				insect_primary_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0	1799143587	6457	263920458	150641573	5	0.12632394684904363	0.405226	1000000	9.25506582513172	3.8100307864058394	8.177944841937268	8.42147305620014	0.22279308542657783	0.07633562618096068
calib_anchor	cross_supervised_4096	maize	0.9629892479990332	cross	plant				cross_supervised_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.10473424156917227	0.03522866676009573
calib_anchor	plant_supervised_4096	maize	0.9619894139220538	plant	plant				plant_supervised_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	1	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.07502995513535196	0.015564806087341232
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	maize	0.9051649037911726	animal	plant				animal_invert_boost_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.12733742870695733	0.05337239103789693
calib_anchor	insect_no_beetle_4096	maize	0.8258861241547802	insect	plant				insect_no_beetle_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.15590843052510947	0.07023719006789098
final_errorbar	ntv3_100m_pre_w2048	maize	0.6762307311381123	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0224912037604054		0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.2040939811147172	0.10662024000194903
final_errorbar	ntv2_250m_w4096	maize	0.2409539973278451	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0067936566735462		0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.2040939811147172	0.10662024000194903
supp_h0_transfer	ntv2_500m_H0_w4096	maize	0.2346799513542635	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0	2182075994	685	308452471	226353449	5	0.0	0.477492	1000000	9.338869871458623	2.8356905714924254	8.354787116327433	8.489188253709083	0.2040939811147172	0.10662024000194903
supp_h0_transfer	ntv2_500m_H0_w4096	mouse	0.937559801228433	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.892472	0.903571	0.986424	1012599366	1105449631	0.4245689865689865	90.0	1.9542425094393248	0	2728222451	61	195154279	130530862	9	0.7530864197530864	0.386286	1000000	9.435879778485567	1.7853298350107671	8.115713206016725	8.290378078167688	0.30138707479757565	0.19055291392716844
final_errorbar	ntv2_250m_w4096	mouse	0.9180812946491188	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0328346949301695		0.892472	0.903571	0.986424	1012599366	1105449631	0.4245689865689865	90.0	1.9542425094393248	0	2728222451	61	195154279	130530862	9	0.7530864197530864	0.386286	1000000	9.435879778485567	1.7853298350107671	8.115713206016725	8.290378078167688	0.30138707479757565	0.19055291392716844
final_errorbar	ntv3_100m_pre_w2048	mouse	0.7771925460040144	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0909697815563608		0.892472	0.903571	0.986424	1012599366	1105449631	0.4245689865689865	90.0	1.9542425094393248	0	2728222451	61	195154279	130530862	9	0.7530864197530864	0.386286	1000000	9.435879778485567	1.7853298350107671	8.115713206016725	8.290378078167688	0.30138707479757565	0.19055291392716844
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	opossum	0.8811419601553324	animal	vertebrate				animal_invert_boost_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	1	3605631728	11	748055161	527952102	3	0.017792685502128935	0.435701	1000000	9.556981366683372	1.041392685158225	8.72259452332798	8.873933623579223	0.16071022958874237	0.05128069036677951
calib_anchor	cross_supervised_4096	opossum	0.8799647530707007	cross	vertebrate				cross_supervised_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0	3605631728	11	748055161	527952102	3	0.017792685502128935	0.435701	1000000	9.556981366683372	1.041392685158225	8.72259452332798	8.873933623579223	0.15867518203515346	0.04618736690210712
calib_anchor	insect_no_beetle_4096	opossum	0.3505344111723824	insect	vertebrate				insect_no_beetle_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0	3605631728	11	748055161	527952102	3	0.017792685502128935	0.435701	1000000	9.556981366683372	1.041392685158225	8.72259452332798	8.873933623579223	0.24425943299571884	0.1031924297457334
calib_anchor	plant_supervised_4096	opossum	0.3131202191971405	plant	vertebrate				plant_supervised_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0	3605631728	11	748055161	527952102	3	0.017792685502128935	0.435701	1000000	9.556981366683372	1.041392685158225	8.72259452332798	8.873933623579223	0.16649117521003629	0.043256326793820854
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	pig	0.8761131743803473	animal	vertebrate				animal_invert_boost_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	1	274330532	1	274330532	274330532	1	0.0	0.530948	1000000	8.438274145705899	0.0	8.438274145705899	8.438274145705899	0.20779559726963676	0.12013552260558269
calib_anchor	cross_supervised_4096	pig	0.8761042913185231	cross	vertebrate				cross_supervised_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0	274330532	1	274330532	274330532	1	0.0	0.530948	1000000	8.438274145705899	0.0	8.438274145705899	8.438274145705899	0.2098828548461344	0.1185655744818539
calib_anchor	insect_no_beetle_4096	pig	0.1493562637371058	insect	vertebrate				insect_no_beetle_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0	274330532	1	274330532	274330532	1	0.0	0.530948	1000000	8.438274145705899	0.0	8.438274145705899	8.438274145705899	0.26074304430627365	0.17319676868927159
calib_anchor	plant_supervised_4096	pig	0.0856805344147079	plant	vertebrate				plant_supervised_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0	274330532	1	274330532	274330532	1	0.0	0.530948	1000000	8.438274145705899	0.0	8.438274145705899	8.438274145705899	0.20259705611242293	0.10560601036393102
calib_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1	199682416	2211	32080666	13894384	6	0.0	0.330472	1000000	8.300339822655378	3.344588742578714	7.142839297329219	7.506243375731907	0.18235847867862107	0.080736532281517
calib_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1	199682416	2211	32080666	13894384	6	0.0	0.330472	1000000	8.300339822655378	3.344588742578714	7.142839297329219	7.506243375731907	0.18235847867862107	0.080736532281517
anchor_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1	199682416	2211	32080666	13894384	6	0.0	0.330472	1000000	8.300339822655378	3.344588742578714	7.142839297329219	7.506243375731907	0.18235847867862107	0.080736532281517
anchor_anchor	insect_primary_4096	red_flour_beetle	0.0053634200258507	insect	insect				insect_primary_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1	199682416	2211	32080666	13894384	6	0.0	0.330472	1000000	8.300339822655378	3.344588742578714	7.142839297329219	7.506243375731907	0.18235847867862107	0.080736532281517
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	red_flour_beetle	0.0044488885799382	animal	insect				animal_invert_boost_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1	199682416	2211	32080666	13894384	6	0.0	0.330472	1000000	8.300339822655378	3.344588742578714	7.142839297329219	7.506243375731907	0.17166809139356998	0.07244918883670015
