package_id	role	role_rank	reserve_pair_rank	unit_type	hard_cell	selection_priority	deep_audit_feature_id	assembly_id	seqid	core_start0	core_end0	package_start0	package_end0	feature_ids	core_length	feature_count	max_overlap_depth	p3_atoms_core	p3_atoms_package	nearest_fbti_gap
S0-00610	main	3		S0	S0-L1	0.012456673541503482		dmel_r6.68	2L	21947553	21947609	21937553	21957609	FBti0063643	56	1	1	1	112	855
S0-01574	main	4		S0	S0-L1	0.002107995891295289	FBti0063696	dmel_r6.68	2R	5778967	5779020	5768967	5789020	FBti0063696	53	1	1	10	230	0
S0-01590	main	5		S0	S0-L1	0.012345876359079577		dmel_r6.68	2R	5878511	5878566	5868511	5888566	FBti0063819	55	1	1	2	117	83
S0-01699	main	6		S0	S0-L1	0.01174503679722616		dmel_r6.68	2R	6579468	6579515	6569468	6589515	FBti0060407	47	1	1	1	161	171
S0-01726	main	7		S0	S0-L1	0.01018128169855903		dmel_r6.68	2R	7209777	7209843	7199777	7219843	FBti0061091	66	1	1	1	252	52
S0-01897	main	8		S0	S0-L1	0.0073555028119681731		dmel_r6.68	2R	16840451	16840489	16830451	16850489	FBti0062616	38	1	1	1	23	21975
S0-02385	main	9		S0	S0-L1	0.011629015407223497		dmel_r6.68	3L	22083477	22083532	22073477	22093532	FBti0060232	55	1	1	2	19	2539
S0-03147	main	10		S0	S0-L1	0.007010255906199081		dmel_r6.68	3R	4838306	4838368	4828306	4848368	FBti0063109	62	1	1	2	234	5295
S0-03198	main	11		S0	S0-L1	0.01353362838265848		dmel_r6.68	3R	6040614	6040677	6030614	6050677	FBti0063792	63	1	1	1	10	16173
S0-03220	main	12		S0	S0-L1	0.011894918743575289		dmel_r6.68	3R	6706020	6706058	6696020	6716058	FBti0063927	38	1	1	4	26	20213
S0-03231	main	13		S0	S0-L1	0.0081405148307496233		dmel_r6.68	3R	7060414	7060445	7050414	7070445	FBti0059787	31	1	1	2	7	219
S0-03398	main	14		S0	S0-L1	0.0027768948043286334	FBti0063749	dmel_r6.68	3R	19106875	19106905	19096875	19116905	FBti0063749	30	1	1	1	11	7138
S0-04201	main	15		S0	S0-L1	0.0070681878069867032		dmel_r6.68	X	5256544	5256605	5246544	5266605	FBti0060537	61	1	1	1	27	82176
S0-00060	main	16		S0	S0-L2	1.0537728149406789e-05	FBti0063078	dmel_r6.68	2L	5120300	5120402	5110300	5130402	FBti0063078	102	1	1	20	25	146375
S0-00437	main	17		S0	S0-L2	0.0009428293657069986	FBti0060297	dmel_r6.68	2L	21346078	21346291	21336078	21356291	FBti0060297	213	1	1	1	422	37
S0-01274	main	18		S0	S0-L2	0.00097338751400011247	FBti0060509	dmel_r6.68	2R	5182817	5182953	5172817	5192953	FBti0060509	136	1	1	1	497	1
S0-01642	main	19		S0	S0-L2	0.0028836874290290027	FBti0064304	dmel_r6.68	2R	6177283	6177412	6167283	6187412	FBti0064304	129	1	1	4	51	4761
S0-01749	main	20		S0	S0-L2	0.0013736199629114099	FBti0061138	dmel_r6.68	2R	7785305	7785456	7775305	7795456	FBti0061138	151	1	1	0	3	5425
S0-02220	main	21		S0	S0-L2	0.0072226182856522936		dmel_r6.68	3L	17034995	17035119	17024995	17045119	FBti0020130	124	1	1	0	5	35313
S0-02345	main	22		S0	S0-L2	0.0063057193540760892		dmel_r6.68	3L	21408125	21408224	21398125	21418224	FBti0064025	99	1	1	6	29	18561
S0-02551	main	23		S0	S0-L2	0.0024583800026987124	FBti0020239	dmel_r6.68	3L	23134074	23134482	23124074	23144482	FBti0020239	408	1	1	1	506	236
S0-02614	main	24		S0	S0-L2	0.0036546016187795072	FBti0062583	dmel_r6.68	3L	23269224	23269363	23259224	23279363	FBti0062583	139	1	1	1	364	329
S0-03186	main	25		S0	S0-L2	0.0040635737844517683		dmel_r6.68	3R	5763530	5763638	5753530	5773638	FBti0063750	108	1	1	2	33	209
S0-03248	main	26		S0	S0-L2	0.0062937717636212254		dmel_r6.68	3R	7534016	7534115	7524016	7544115	FBti0059855	99	1	1	2	167	16636
S0-03427	main	27		S0	S0-L2	0.00017701025940031201	FBti0064276	dmel_r6.68	3R	20840409	20840522	20830409	20850522	FBti0064276	113	1	1	2	59	4768
S0-03780	main	28		S0	S0-L2	0.0021203995770976425	FBti0060002	dmel_r6.68	4	653246	653382	643246	663382	FBti0060002	136	1	1	4	230	4965
S0-03842	main	29		S0	S0-L2	0.0079476300074907691		dmel_r6.68	4	870071	870392	860071	880392	FBti0060777	321	1	1	15	80	1885
S0-04098	main	30		S0	S0-L2	0.0035942938916174727	FBti0062785	dmel_r6.68	X	306623	306902	296623	316902	FBti0062785	279	1	1	52	426	835
S0-00899	main	31		S0	S0-L3	0.00015826746924418877	FBti0215133	dmel_r6.68	2R	4169453	4170224	4159453	4180224	FBti0215133	771	1	1	24	573	23144
S0-01149	main	32		S0	S0-L3	0.037867561001132088		dmel_r6.68	2R	4971725	4972551	4961725	4982551	FBti0064183	826	1	1	47	901	528
S0-01435	main	33		S0	S0-L3	0.00065110372137588968	FBti0062508	dmel_r6.68	2R	5482711	5483424	5472711	5493424	FBti0062508	713	1	1	19	396	3
S0-01976	main	34		S0	S0-L3	0.010418045526560893		dmel_r6.68	2R	25088942	25089627	25078942	25099627	FBti0061420	685	1	1	3	101	228
S0-02047	main	35		S0	S0-L3	0.02291391841020729		dmel_r6.68	3L	1490338	1491012	1480338	1501012	FBti0020018	674	1	1	8	66	3467
S0-02311	main	36		S0	S0-L3	0.0399808603770343		dmel_r6.68	3L	20501557	20502154	20491557	20512154	FBti0063437	597	1	1	2	400	336
S0-02443	main	37		S0	S0-L3	0.034388581010809993		dmel_r6.68	3L	22938399	22938922	22928399	22948922	FBti0060781	523	1	1	2	140	0
S0-02483	main	38		S0	S0-L3	0.050155528840244656		dmel_r6.68	3L	23000938	23001687	22990938	23011687	FBti0020219	749	1	1	49	276	803
S0-02887	main	39		S0	S0-L3	0.026878385457514975		dmel_r6.68	3L	24445715	24446671	24435715	24456671	FBti0215144	956	1	1	1	195	9583
S0-03179	main	40		S0	S0-L3	0.05258713691368555		dmel_r6.68	3R	5676687	5677200	5666687	5687200	FBti0063293	513	1	1	52	392	16416
S0-03605	main	41		S0	S0-L3	0.0083255069365669732		dmel_r6.68	4	180264	180926	170264	190926	FBti0062898	662	1	1	1	402	0
S0-03892	main	42		S0	S0-L3	0.017101467495082567		dmel_r6.68	4	984104	984627	974104	994627	FBti0061382	523	1	1	9	119	1673
S0-04134	main	43		S0	S0-L3	0.0072150367718955		dmel_r6.68	X	1024761	1025624	1014761	1035624	FBti0019529	863	1	1	11	88	358
S0-04684	main	44		S0	S0-L3	0.048016042384880109		dmel_r6.68	X	22476648	22477168	22466648	22487168	FBti0061140	520	1	1	16	474	3162
S0-04692	main	45		S0	S0-L3	0.010448682081756533		dmel_r6.68	X	22506427	22506956	22496427	22516956	FBti0061147	529	1	1	1	267	1306
S0-00094	main	46		S0	S0-L4	0.0022417368471789878	FBti0019754	dmel_r6.68	2L	8594519	8601516	8584519	8611516	FBti0019754	6997	1	1	30	59	121653
S0-00242	main	47		S0	S0-L4	0.01415953099816436		dmel_r6.68	2L	17687541	17692249	17677541	17702249	FBti0019191	4708	1	1	109	307	35654
S0-00243	main	48		S0	S0-L4	0.01227078161514028		dmel_r6.68	2L	17727903	17729309	17717903	17739309	FBti0019192	1406	1	1	34	66	35654
S0-00904	main	49		S0	S0-L4	0.011260374230765868		dmel_r6.68	2R	4313783	4321129	4303783	4331129	FBti0215386	7346	1	1	138	1026	48487
S0-01957	main	50		S0	S0-L4	0.0025834787344609644	FBti0018973	dmel_r6.68	2R	22580466	22586578	22570466	22596578	FBti0018973	6112	1	1	196	460	51168
S0-02096	main	51		S0	S0-L4	0.010263937281769886		dmel_r6.68	3L	6781178	6783127	6771178	6793127	FBti0020053	1949	1	1	108	724	72850
S0-02243	main	52		S0	S0-L4	0.0027800778399337256	FBti0020145	dmel_r6.68	3L	18047762	18056761	18037762	18066761	FBti0020145	8999	1	1	178	223	30987
S0-02330	main	53		S0	S0-L4	0.0042734984833494583		dmel_r6.68	3L	21014968	21023393	21004968	21033393	FBti0020184	8425	1	1	187	218	22462
S0-02847	main	54		S0	S0-L4	0.0056434897381898441		dmel_r6.68	3L	23765952	23767536	23755952	23777536	FBti0060989	1584	1	1	0	294	1
S0-02975	main	55		S0	S0-L4	0.0072567116211128546		dmel_r6.68	3R	2674220	2675316	2664220	2685316	FBti0215197	1096	1	1	1	561	7518
S0-04050	main	56		S0	S0-L4	0.011594376132961992		dmel_r6.68	4	1333118	1345424	1323118	1348131	FBti0102102	12306	1	1	582	910	0
S0-04144	main	57		S0	S0-L4	0.0056746123557772643		dmel_r6.68	X	1737165	1746272	1727165	1756272	FBti0019539	9107	1	1	373	437	72481
S0-04401	main	58		S0	S0-L4	0.002104800818558572	FBti0019086	dmel_r6.68	X	19136606	19143468	19126606	19153468	FBti0019086	6862	1	1	71	74	14201
S0-04558	main	59		S0	S0-L4	0.0038457891138981015	FBti0064102	dmel_r6.68	X	21162607	21164146	21152607	21174146	FBti0064102	1539	1	1	59	644	841
S0-04749	main	60		S0	S0-L4	0.013867343498166984		dmel_r6.68	X	22726307	22727474	22716307	22737474	FBti0019742	1167	1	1	3	360	0
S1-00001	main	61		S1	S1-C1	0.03116842739427339	FBti0019760	dmel_r6.68	2L	14465639	14469047	14455639	14479047	FBti0019760,FBti0059713	3408	2	2	404	474	
S1-00002	main	62		S1	S1-C1	0.014402566439236875	FBti0019768	dmel_r6.68	2L	15718779	15727570	15708779	15737570	FBti0019768,FBti0059716	8791	2	2	205	253	
S1-00014	main	63		S1	S1-C1	0.16732595698379615		dmel_r6.68	2L	21208279	21208883	21198279	21218883	FBti0060282,FBti0063458	604	2	2	8	403	
S1-00117	main	64		S1	S1-C1	0.047139512925685967	FBti0018924	dmel_r6.68	2R	5951387	5952373	5941387	5962373	FBti0018924,FBti0064256	986	2	2	82	193	
S1-00141	main	65		S1	S1-C1	0.1033897867924024		dmel_r6.68	3L	21243799	21251305	21233799	21261305	FBti0020033,FBti0020186	7506	2	2	105	364	
S1-00144	main	66		S1	S1-C1	0.010582807640532543	FBti0060655	dmel_r6.68	3L	22722901	22723682	22712901	22733682	FBti0060655,FBti0060717	781	2	2	14	73	
S1-00158	main	67		S1	S1-C1	0.16627386626138652		dmel_r6.68	3L	23235180	23237412	23225180	23247412	FBti0062461,FBti0062525	2232	2	2	56	507	
S1-00203	main	68		S1	S1-C1	0.0093785917189183055	FBti0019288	dmel_r6.68	3R	4518288	4519746	4508288	4529746	FBti0019288,FBti0059740	1458	2	2	40	291	
S1-00210	main	69		S1	S1-C1	0.18079710057122944		dmel_r6.68	3R	8898275	8906382	8888275	8916382	FBti0020325,FBti0059706	8107	2	2	314	590	
S1-00220	main	70		S1	S1-C1	0.037498319540487102	FBti0020362	dmel_r6.68	3R	12486127	12487385	12476127	12497385	FBti0020362,FBti0059724	1258	2	2	28	695	
S1-00231	main	71		S1	S1-C1	0.020969973083243332	FBti0062165	dmel_r6.68	3R	32076345	32076914	32066345	32079331	FBti0062165,FBti0062166	569	2	2	0	116	
S1-00242	main	72		S1	S1-C1	0.05262412672984762	FBti0020418	dmel_r6.68	4	367339	368083	357339	378083	FBti0020418,FBti0063549	744	2	2	20	876	
S1-00251	main	73		S1	S1-C1	0.1458657714761854		dmel_r6.68	4	955138	956342	945138	966342	FBti0020437,FBti0060964	1204	2	2	23	276	
S1-00262	main	74		S1	S1-C1	0.062033350020469058	FBti0062794	dmel_r6.68	X	160322	168084	150322	178084	FBti0062794,FBti0063956	7762	2	2	113	268	
S1-00264	main	75		S1	S1-C1	0.098498303793503439		dmel_r6.68	X	3597605	3602314	3587605	3612314	FBti0019557,FBti0019558	4709	2	2	103	422	
S1-00267	main	76		S1	S1-C1	0.055819837837716269	FBti0019576	dmel_r6.68	X	4990098	4997254	4980098	5007254	FBti0019576,FBti0059710	7156	2	2	134	215	
S1-00268	main	77		S1	S1-C1	0.041048013525705973	FBti0019595	dmel_r6.68	X	6757290	6758456	6747290	6768456	FBti0019595,FBti0061172	1166	2	2	56	398	
S1-00284	main	78		S1	S1-C1	0.071802811500125241		dmel_r6.68	X	22373987	22375455	22363987	22385455	FBti0060608,FBti0060627	1468	2	2	54	1103	
S1-00297	main	79		S1	S1-C1	0.076491886843244261		dmel_r6.68	X	22821837	22824160	22811837	22834160	FBti0061699,FBti0061781	2323	2	2	0	743	
S1-00301	main	80		S1	S1-C1	0.0053033046737864797	FBti0062417	dmel_r6.68	X	22938885	22943309	22928885	22953309	FBti0062417,FBti0062437	4424	2	2	4	329	
S1-00004	main	81		S1	S1-C2	0.27792364453214691		dmel_r6.68	2L	19652627	19674003	19642627	19684003	FBti0019776,FBti0019778,FBti0059737	21376	3	2	433	672	
S1-00025	main	82		S1	S1-C2	0.1245190301603929		dmel_r6.68	2L	22048334	22049559	22038334	22059559	FBti0063583,FBti0064076,FBti0064096	1225	3	2	1	338	
S1-00026	main	83		S1	S1-C2	0.17795340955969463		dmel_r6.68	2L	22115055	22117150	22105055	22127150	FBti0019852,FBti0060372,FBti0064167	2095	3	2	2	254	
S1-00045	main	84		S1	S1-C2	0.3969563335650651		dmel_r6.68	2L	22395372	22406749	22385372	22416749	FBti0060378,FBti0060389,FBti0060653	11377	3	2	490	1128	
S1-00052	main	85		S1	S1-C2	0.2216639096035492		dmel_r6.68	2R	4585701	4594064	4575701	4604064	FBti0061242,FBti0061345,FBti0061712,FBti0061768,FBti0061788,FBti0061827,FBti0061900,FBti0061903,FBti0061909,FBti0061932	8363	10	2	40	624	
S1-00058	main	86		S1	S1-C2	0.1117915246007487		dmel_r6.68	2R	4682787	4684878	4672787	4694878	FBti0060829,FBti0061323,FBti0061796	2091	3	2	74	427	
S1-00069	main	87		S1	S1-C2	0.14179685222124272		dmel_r6.68	2R	4826776	4828044	4816776	4838044	FBti0062494,FBti0062500,FBti0063092,FBti0063279	1268	4	2	66	532	
S1-00077	main	88		S1	S1-C2	0.10040350358652139		dmel_r6.68	2R	4934464	4937866	4924464	4947866	FBti0059637,FBti0060921,FBti0064047	3402	3	2	15	535	
S1-00084	main	89		S1	S1-C2	0.36882814388953311		dmel_r6.68	2R	5033926	5036433	5023926	5046433	FBti0018907,FBti0060079,FBti0060912	2507	3	2	153	986	
S1-00095	main	90		S1	S1-C2	0.0067499729534515884	FBti0018983	dmel_r6.68	2R	5226657	5240150	5216657	5250150	FBti0018983,FBti0019901,FBti0060950,FBti0061135	13493	4	2	550	1015	
S1-00104	main	91		S1	S1-C2	0.1046551047523977		dmel_r6.68	2R	5444805	5446285	5434805	5456285	FBti0060994,FBti0060996,FBti0061186	1480	3	2	8	417	
S1-00110	main	92		S1	S1-C2	0.29616112378631931		dmel_r6.68	2R	5532443	5536059	5522443	5546059	FBti0062399,FBti0062458,FBti0063084	3616	3	2	1	281	
S1-00113	main	93		S1	S1-C2	0.048028686223319239	FBti0019935	dmel_r6.68	2R	5629243	5632964	5619243	5642964	FBti0019935,FBti0019937,FBti0059742	3721	3	2	132	1234	
S1-00156	main	94		S1	S1-C2	0.12004796634216341		dmel_r6.68	3L	23200947	23208226	23190947	23218226	FBti0020288,FBti0061798,FBti0061800	7279	3	2	116	624	
S1-00183	main	95		S1	S1-C2	0.055556269538194591	FBti0059890	dmel_r6.68	3L	23615092	23617766	23605092	23627766	FBti0059890,FBti0063877,FBti0063971	2674	3	2	29	517	
S1-00192	main	96		S1	S1-C2	0.45181594483085619		dmel_r6.68	3L	23710548	23714035	23700548	23724035	FBti0060435,FBti0061013,FBti0061033	3487	3	2	94	1006	
S1-00196	main	97		S1	S1-C2	0.22174044924050251		dmel_r6.68	3L	23798696	23801834	23788696	23811834	FBti0060431,FBti0060468,FBti0060974,FBti0062696	3138	4	2	69	567	
S1-00244	main	98		S1	S1-C2	0.34242814579587189		dmel_r6.68	4	455788	459194	445788	469194	FBti0020423,FBti0064134,FBti0064154,FBti0064159	3406	4	2	126	433	
S1-00278	main	99		S1	S1-C2	0.10788857369501759		dmel_r6.68	X	21689242	21704638	21679242	21714638	FBti0060182,FBti0060199,FBti0060200	15396	3	2	923	1658	
S1-00288	main	100		S1	S1-C2	0.44470823874490761		dmel_r6.68	X	22406728	22413355	22396728	22423355	FBti0019708,FBti0019709,FBti0019710	6627	3	2	221	1075	
S1-00035	main	101		S1	S1-C3	0.42738843745097355		dmel_r6.68	2L	22269459	22273050	22259459	22283050	FBti0060413,FBti0060635,FBti0060639,FBti0060677	3591	4	3	352	1006	
S1-00048	main	102		S1	S1-C3	0.250361362627054		dmel_r6.68	2R	4526024	4533935	4516024	4543935	FBti0060850,FBti0061349,FBti0061820	7911	3	3	34	344	
S1-00061	main	103		S1	S1-C3	0.015949671261856757	FBti0063070	dmel_r6.68	2R	4712837	4714923	4702837	4724923	FBti0063070,FBti0063119,FBti0063121	2086	3	3	23	427	
S1-00075	main	104		S1	S1-C3	0.29895629671601121		dmel_r6.68	2R	4910256	4914074	4900256	4924074	FBti0018981,FBti0060032,FBti0060890,FBti0060891,FBti0064051	3818	5	3	130	668	
S1-00103	main	105		S1	S1-C3	0.52181569612542933		dmel_r6.68	2R	5374814	5394949	5364814	5404949	FBti0018911,FBti0019914,FBti0019915,FBti0059734,FBti0060993	20135	5	4	957	2031	
S1-00112	main	106		S1	S1-C3	0.49587984305908495		dmel_r6.68	2R	5582205	5597190	5572205	5607190	FBti0018896,FBti0019931,FBti0019932,FBti0059760	14985	4	3	660	1131	
S1-00120	main	107		S1	S1-C3	0.090568873439466846		dmel_r6.68	2R	6256172	6322173	6246172	6332173	FBti0018898,FBti0018912,FBti0018932,FBti0018933,FBti0019275,FBti0019946,FBti0019949,FBti0019951,FBti0019954,FBti0019957,FBti0059690,FBti0059727,FBti0059728,FBti0059729,FBti0059774,FBti0059833,FBti0059846,FBti0059849,FBti0059862,FBti0059884,FBti0059886,FBti0060254,FBti0060256,FBti0060267,FBti0060274,FBti0060275,FBti0060277,FBti0060279,FBti0060289	66001	29	5	1673	2195	
S1-00125	main	108		S1	S1-C3	0.34858178715827226		dmel_r6.68	2R	6463071	6469273	6453071	6479273	FBti0019969,FBti0060325,FBti0060406	6202	3	3	37	952	
S1-00138	main	109		S1	S1-C3	0.022480348463088995	FBti0020141	dmel_r6.68	3L	17871250	17874018	17861250	17884018	FBti0020141,FBti0020142,FBti0020143	2768	3	3	42	274	
S1-00139	main	110		S1	S1-C3	0.22051751230832728		dmel_r6.68	3L	20324792	20342344	20314792	20352344	FBti0020174,FBti0020176,FBti0059763,FBti0062048	17552	4	3	742	778	
S1-00162	main	111		S1	S1-C3	0.56871983379479085		dmel_r6.68	3L	23298933	23315187	23288933	23325187	FBti0020275,FBti0020276,FBti0059761,FBti0063341,FBti0063343,FBti0063345	16254	6	3	638	981	
S1-00172	main	112		S1	S1-C3	0.28890325733548528		dmel_r6.68	3L	23471030	23477343	23461030	23487343	FBti0059859,FBti0059928,FBti0059929,FBti0059930,FBti0063916	6313	5	3	316	748	
S1-00176	main	113		S1	S1-C3	0.01813758975838331	FBti0059841	dmel_r6.68	3L	23504018	23531694	23494018	23541694	FBti0059841,FBti0059867,FBti0059885,FBti0062666,FBti0062667,FBti0063914,FBti0063936,FBti0063951,FBti0063967	27676	9	3	981	1676	
S1-00179	main	114		S1	S1-C3	0.50177557539015694		dmel_r6.68	3L	23556290	23564561	23546290	23574561	FBti0059840,FBti0059933,FBti0062206,FBti0062207,FBti0062213,FBti0063910,FBti0063935	8271	7	3	326	1108	
S1-00187	main	115		S1	S1-C3	0.062965415249248147	FBti0060953	dmel_r6.68	3L	23666780	23678110	23656780	23688110	FBti0060953,FBti0060955,FBti0060985,FBti0060986	11330	4	3	406	857	
S1-00209	main	116		S1	S1-C3	0.24022658588787338		dmel_r6.68	3R	7694631	7707819	7684631	7717819	FBti0020316,FBti0020317,FBti0059775	13188	3	3	328	412	
S1-00248	main	117		S1	S1-C3	0.014067632055244972	FBti0020430	dmel_r6.68	4	681511	683872	671511	693872	FBti0020430,FBti0059638,FBti0059694,FBti0063450	2361	4	3	1	562	
S1-00273	main	118		S1	S1-C3	0.55085471971876809		dmel_r6.68	X	21523176	21556097	21513176	21566097	FBti0019683,FBti0019685,FBti0019687,FBti0019690,FBti0059697,FBti0059707,FBti0059777,FBti0060084,FBti0060111,FBti0060161,FBti0060163,FBti0060473	32921	12	4	1338	1428	
S1-00291	main	119		S1	S1-C3	0.26408500835852133		dmel_r6.68	X	22437588	22442616	22427588	22452616	FBti0019718,FBti0059649,FBti0059650,FBti0059699,FBti0060669	5028	5	4	43	550	
S1-00303	main	120		S1	S1-C3	0.33356918872619934		dmel_r6.68	X	22969656	22979266	22959656	22989266	FBti0062353,FBti0062435,FBti0062439,FBti0062480	9610	4	3	237	479	
S0-02219	reserve	1	9	S0	S0-L1	0.0035675080020971528		dmel_r6.68	3L	16999636	16999682	16989636	17009682	FBti0061973	46	1	1	1	5	35313
S0-03958	reserve	2	17	S0	S0-L1	0.00019430510758522423		dmel_r6.68	4	1136022	1136077	1126022	1146077	FBti0062006	55	1	1	0	174	1141
S0-04781	reserve	3	20	S0	S0-L1	0.00060642132946897576		dmel_r6.68	X	22872400	22872454	22862400	22882454	FBti0061847	54	1	1	1	656	1772
S0-00287	reserve	4	2	S0	S0-L2	0.00031161275026914126		dmel_r6.68	2L	19813238	19813515	19803238	19823515	FBti0062086	277	1	1	11	219	3269
S0-00384	reserve	5	3	S0	S0-L2	0.00099793665574232637		dmel_r6.68	2L	21112154	21112301	21102154	21122301	FBti0063417	147	1	1	5	23	36961
S0-03366	reserve	6	13	S0	S0-L2	8.825126758194024e-05		dmel_r6.68	3R	16992035	16992316	16982035	17002316	FBti0063800	281	1	1	4	4	23322
S0-03801	reserve	7	15	S0	S0-L2	0.0011604018093401836		dmel_r6.68	4	749971	750190	739971	760190	FBti0060114	219	1	1	1	1208	36
S0-04451	reserve	8	18	S0	S0-L2	0.0059324984671926817		dmel_r6.68	X	19998798	19999083	19988798	20009083	FBti0062891	285	1	1	23	49	34287
S0-04473	reserve	9	19	S0	S0-L2	0.0040546706502276875		dmel_r6.68	X	20349521	20349668	20339521	20359668	FBti0062996	147	1	1	1	105	124
S0-01565	reserve	10	5	S0	S0-L3	0.0028009692676483899		dmel_r6.68	2R	5756581	5757287	5746581	5767287	FBti0061485	706	1	1	54	101	5060
S0-02068	reserve	11	6	S0	S0-L3	0.00057257689291079217		dmel_r6.68	3L	4773710	4774361	4763710	4784361	FBti0020036	651	1	1	79	465	126821
S0-02995	reserve	12	10	S0	S0-L3	0.0047429662332594269		dmel_r6.68	3R	4180882	4181432	4170882	4191432	FBti0061077	550	1	1	1	425	1569
S0-00022	reserve	13	1	S0	S0-L4	0.0011443532745337714		dmel_r6.68	2L	976934	984512	966934	994512	FBti0019100	7578	1	1	42	226	12267
S0-00886	reserve	14	4	S0	S0-L4	0.0054795094704340741		dmel_r6.68	2R	3564887	3572799	3554887	3582799	FBti0215305	7912	1	1	259	705	19697
S0-02082	reserve	15	7	S0	S0-L4	0.00067623212680534284		dmel_r6.68	3L	6001781	6004376	5991781	6014376	FBti0020045	2595	1	1	223	583	36039
S0-02092	reserve	16	8	S0	S0-L4	8.8311562346232719e-06		dmel_r6.68	3L	6405713	6432119	6395713	6442119	FBti0059769	26406	1	1	698	701	51516
S0-03046	reserve	17	11	S0	S0-L4	0.0032069094889508598		dmel_r6.68	3R	4366812	4375137	4356812	4385137	FBti0019285	8325	1	1	110	560	3010
S0-03339	reserve	18	12	S0	S0-L4	0.0028985386744150299		dmel_r6.68	3R	14246439	14247875	14236439	14257875	FBti0019376	1436	1	1	195	445	2009
S0-03370	reserve	19	14	S0	S0-L4	0.0019709603498246908		dmel_r6.68	3R	17509275	17516766	17499275	17526766	FBti0019390	7491	1	1	137	246	58619
S0-03849	reserve	20	16	S0	S0-L4	0.0021915006021787642		dmel_r6.68	4	894623	895820	884623	905820	FBti0020436	1197	1	1	15	133	295
S1-00009	reserve	21	1	S1	S1-C1	0.0083316176469010461		dmel_r6.68	2L	20175809	20191234	20165809	20201234	FBti0059702,FBti0059747	15425	2	2	1263	2126	
S1-00017	reserve	22	2	S1	S1-C1	0.071040499855262951		dmel_r6.68	2L	21413145	21416189	21403145	21426189	FBti0019836,FBti0059738	3044	2	2	31	693	
S1-00024	reserve	23	4	S1	S1-C1	0.14542528795855603		dmel_r6.68	2L	21911770	21913694	21901770	21923694	FBti0019848,FBti0060331	1924	2	2	133	386	
S1-00040	reserve	24	5	S1	S1-C1	0.033225093323622557		dmel_r6.68	2L	22326996	22328106	22316996	22338106	FBti0060615,FBti0060617	1110	2	2	36	691	
S1-00098	reserve	25	6	S1	S1-C1	0.041848218715205832		dmel_r6.68	2R	5277194	5282574	5267194	5292574	FBti0060992,FBti0061718	5380	2	2	22	546	
S1-00100	reserve	26	7	S1	S1-C1	0.10946149530226001		dmel_r6.68	2R	5309113	5311497	5299113	5321497	FBti0019904,FBti0019905	2384	2	2	72	582	
