source	model	species	te_f1	anchor_type	species_group	panel	n_chrom	sd_te_f1	stage	label_jaccard	ucsc_bp_covered_by_self	self_bp_covered_by_ucsc	self_merged_bp	ucsc_merged_bp	target_gc	distance_mya_proxy	log_distance_mya	same_group_anchor
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	cattle	0.9216935615407684	animal	vertebrate				animal_invert_boost_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	1
calib_anchor	cross_supervised_4096	cattle	0.9213113792693672	cross	vertebrate				cross_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0
calib_anchor	insect_no_beetle_4096	cattle	0.2681289424464008	insect	vertebrate				insect_no_beetle_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0
calib_anchor	plant_supervised_4096	cattle	0.0858809770068545	plant	vertebrate				plant_supervised_to_cross_eval	0.48001	0.488924	0.963405	641516843	1264081324		96.0	1.9822712330395684	0
supp_h0_transfer	ntv2_500m_H0_w4096	chicken	0.8516226680157541	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0
final_errorbar	ntv2_250m_w4096	chicken	0.843436719033926	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0193628216675568		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0
final_errorbar	ntv3_100m_pre_w2048	chicken	0.6195493201860316	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0701786703401454		0.391291	0.394479	0.979765	40667484	101005421	0.4113284493284493	310.0	2.4913616938342726	0
anchor_anchor	insect_no_beetle_4096	fruit_fly	0.944818571090276	insect	insect				insect_no_beetle_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	fruit_fly	0.9437257723304636	animal	insect				animal_invert_boost_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1
anchor_anchor	cross_supervised_4096	fruit_fly	0.942393180917196	cross	insect				cross_supervised_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0
anchor_anchor	insect_primary_4096	fruit_fly	0.9413841255319276	insect	insect				insect_primary_to_insect_fine	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	1
supp_h0_transfer	ntv2_500m_H0_w4096	fruit_fly	0.6577990369528225	human_h0_ntv2_500m	insect				transfer_BC_w4096	0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0
final_errorbar	ntv2_250m_w4096	fruit_fly	0.5533233517822065	human_h0_ntv2_250m	insect	animal_fine	3.0	0.0128215769678409		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0
final_errorbar	ntv3_100m_pre_w2048	fruit_fly	0.4822229619104726	human_h0_ntv3_100m	insect	animal_fine	3.0	0.1825771233602698		0.888725	0.993839	0.893648	26497161	23825911	0.494656395206652	780.0	2.8920946026904804	0
calib_anchor	cross_supervised_4096	horse	0.8925601404845789	cross	vertebrate				cross_supervised_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	horse	0.8913728851560259	animal	vertebrate				animal_invert_boost_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	1
calib_anchor	insect_no_beetle_4096	horse	0.1869044858967403	insect	vertebrate				insect_no_beetle_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0
calib_anchor	plant_supervised_4096	horse	0.1025602154105038	plant	vertebrate				plant_supervised_to_cross_eval	0.791397	0.812579	0.968112	892563554	1063406667		96.0	1.9822712330395684	0
supp_h0_transfer	ntv2_500m_H0_w4096	human	0.961411324419745	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	human	0.904946115719272	animal	vertebrate				animal_invert_boost_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	1
calib_anchor	cross_supervised_4096	human	0.9023446184329426	cross	vertebrate				cross_supervised_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0
calib_anchor	insect_no_beetle_4096	human	0.1477908337777611	insect	vertebrate				insect_no_beetle_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0
calib_anchor	plant_supervised_4096	human	0.1214275571269181	plant	vertebrate				plant_supervised_to_cross_eval	0.948128	0.966802	0.980034	1410192187	1429492481		6.0	0.7781512503836436	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	lizard	0.2416400416987031	animal	vertebrate				animal_invert_boost_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	1
calib_anchor	cross_supervised_4096	lizard	0.2400380045378313	cross	vertebrate				cross_supervised_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
anchor_anchor	cross_supervised_4096	lizard	0.2400380045378313	cross	vertebrate				cross_supervised_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	cross_supervised_4096	lizard	0.2400378125654802	cross	vertebrate				cross_supervised_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	plant_supervised_4096	lizard	0.1506094759615682	plant	vertebrate				plant_supervised_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	plant_supervised_4096	lizard	0.1506082021187199	plant	vertebrate				plant_supervised_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
anchor_anchor	insect_no_beetle_4096	lizard	0.1418302477559669	insect	vertebrate				insect_no_beetle_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	insect_no_beetle_4096	lizard	0.1418301390195415	insect	vertebrate				insect_no_beetle_to_cross_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	insect_no_beetle_4096	lizard	0.1418301390195415	insect	vertebrate				insect_no_beetle_to_stress_eval	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
anchor_anchor	insect_primary_4096	lizard	0.1034366102674265	insect	vertebrate				insect_primary_to_insect_stress	0.038956	0.053715	0.12417	41691771	96375917		320.0	2.505149978319906	0
calib_anchor	cross_supervised_4096	maize	0.9629892479990332	cross	plant				cross_supervised_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
calib_anchor	plant_supervised_4096	maize	0.9619894139220538	plant	plant				plant_supervised_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	maize	0.9051649037911726	animal	plant				animal_invert_boost_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
calib_anchor	insect_no_beetle_4096	maize	0.8258861241547802	insect	plant				insect_no_beetle_to_plant_fine	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
final_errorbar	ntv3_100m_pre_w2048	maize	0.6762307311381123	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0224912037604054		0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
final_errorbar	ntv2_250m_w4096	maize	0.2409539973278451	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0067936566735462		0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
supp_h0_transfer	ntv2_500m_H0_w4096	maize	0.2346799513542635	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.095466	0.095627	0.982637	173317530	1780954681	0.46090576171875	1500.0	3.1760912590556813	0
supp_h0_transfer	ntv2_500m_H0_w4096	mouse	0.937559801228433	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.892472	0.903571	0.986424	1012599366	1105449631	0.42456898656898656	90.0	1.9542425094393248	0
final_errorbar	ntv2_250m_w4096	mouse	0.9180812946491188	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0328346949301695		0.892472	0.903571	0.986424	1012599366	1105449631	0.42456898656898656	90.0	1.9542425094393248	0
final_errorbar	ntv3_100m_pre_w2048	mouse	0.7771925460040144	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0909697815563608		0.892472	0.903571	0.986424	1012599366	1105449631	0.42456898656898656	90.0	1.9542425094393248	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	opossum	0.8811419601553324	animal	vertebrate				animal_invert_boost_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	1
calib_anchor	cross_supervised_4096	opossum	0.8799647530707007	cross	vertebrate				cross_supervised_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0
calib_anchor	insect_no_beetle_4096	opossum	0.3505344111723824	insect	vertebrate				insect_no_beetle_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0
calib_anchor	plant_supervised_4096	opossum	0.3131202191971405	plant	vertebrate				plant_supervised_to_cross_eval	0.387702	0.396173	0.947731	784870682	1877580601		160.0	2.204119982655925	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	pig	0.8761131743803473	animal	vertebrate				animal_invert_boost_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	1
calib_anchor	cross_supervised_4096	pig	0.8761042913185231	cross	vertebrate				cross_supervised_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0
calib_anchor	insect_no_beetle_4096	pig	0.1493562637371058	insect	vertebrate				insect_no_beetle_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0
calib_anchor	plant_supervised_4096	pig	0.0856805344147079	plant	vertebrate				plant_supervised_to_cross_eval	0.582164	0.594998	0.964273	664295117	1076577590		96.0	1.9822712330395684	0
calib_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
calib_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
anchor_anchor	insect_no_beetle_4096	red_flour_beetle	0.0059299524368398	insect	insect				insect_no_beetle_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
anchor_anchor	insect_primary_4096	red_flour_beetle	0.0053634200258507	insect	insect				insect_primary_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	red_flour_beetle	0.0044488885799382	animal	insect				animal_invert_boost_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	red_flour_beetle	0.0044488885799382	animal	insect				animal_invert_boost_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	red_flour_beetle	0.0044488885799382	animal	insect				animal_invert_boost_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	1
calib_anchor	cross_supervised_4096	red_flour_beetle	0.0030871384254842	cross	insect				cross_supervised_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	cross_supervised_4096	red_flour_beetle	0.0030871384254842	cross	insect				cross_supervised_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
anchor_anchor	cross_supervised_4096	red_flour_beetle	0.0030871384254842	cross	insect				cross_supervised_to_insect_stress	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	plant_supervised_4096	red_flour_beetle	0.0023709296255628	plant	insect				plant_supervised_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	plant_supervised_4096	red_flour_beetle	0.0023709296255628	plant	insect				plant_supervised_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	direct_red_flour_beetle_4096	red_flour_beetle	0.0	other_anchor	insect				direct_beetle_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	direct_red_flour_beetle_4096	red_flour_beetle	0.0	other_anchor	insect				direct_beetle_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	direct_western_honey_bee_4096	red_flour_beetle	0.0	other_anchor	insect				direct_honeybee_to_cross_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	direct_western_honey_bee_4096	red_flour_beetle	0.0	other_anchor	insect				direct_honeybee_to_stress_eval	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	direct_red_flour_beetle_4096	red_flour_beetle	0.0	other_anchor	insect				direct_beetle_own_holdout	0.027167	0.29354	0.029068	1816066	179836		820.0	2.9138138523837167	0
calib_anchor	cross_supervised_4096	rice	0.8757886614942711	cross	plant				cross_supervised_to_plant_fine	0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
calib_anchor	plant_supervised_4096	rice	0.8707687905287769	plant	plant				plant_supervised_to_plant_fine	0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	rice	0.7436754544113025	animal	plant				animal_invert_boost_to_plant_fine	0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
calib_anchor	insect_no_beetle_4096	rice	0.6461381376419327	insect	plant				insect_no_beetle_to_plant_fine	0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
final_errorbar	ntv3_100m_pre_w2048	rice	0.4280118170164783	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0089135891045139		0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
final_errorbar	ntv2_250m_w4096	rice	0.1180575922330197	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0082940112619889		0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
supp_h0_transfer	ntv2_500m_H0_w4096	rice	0.115519977917328	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.042709	0.042814	0.945597	6804792	150290274	0.4367724609375	1500.0	3.1760912590556813	0
calib_anchor	cross_supervised_4096	sorghum	0.9154621597006132	cross	plant				cross_supervised_to_plant_fine	0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
calib_anchor	plant_supervised_4096	sorghum	0.9087078620701828	plant	plant				plant_supervised_to_plant_fine	0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	sorghum	0.8370785739861111	animal	plant				animal_invert_boost_to_plant_fine	0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
calib_anchor	insect_no_beetle_4096	sorghum	0.7395318366775196	insect	plant				insect_no_beetle_to_plant_fine	0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
final_errorbar	ntv3_100m_pre_w2048	sorghum	0.4747462171975484	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0156681636990695		0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
supp_h0_transfer	ntv2_500m_H0_w4096	sorghum	0.1793904911276665	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
final_errorbar	ntv2_250m_w4096	sorghum	0.1551588113564608	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0342168256944894		0.057919	0.05798	0.982235	24648380	417568699	0.43649658203125	1500.0	3.1760912590556813	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	soybean	0.5650860204945004	animal	plant				animal_invert_boost_to_cross_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	soybean	0.5650854892493286	animal	plant				animal_invert_boost_to_plant_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	insect_no_beetle_4096	soybean	0.4867824461937038	insect	plant				insect_no_beetle_to_cross_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	insect_no_beetle_4096	soybean	0.4867824461937038	insect	plant				insect_no_beetle_to_plant_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	cross_supervised_4096	soybean	0.4136761357660033	cross	plant				cross_supervised_to_cross_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	cross_supervised_4096	soybean	0.4136761357660033	cross	plant				cross_supervised_to_plant_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	0
calib_anchor	plant_supervised_4096	soybean	0.4115535505913839	plant	plant				plant_supervised_to_cross_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	1
calib_anchor	plant_supervised_4096	soybean	0.4115535505913839	plant	plant				plant_supervised_to_plant_eval	0.121572	0.122064	0.967888	51176368	405794558		1550.0	3.1903316981702914	1
calib_anchor	plant_supervised_4096	teosinte	0.9308197551982428	plant	plant				plant_supervised_to_cross_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	1
calib_anchor	plant_supervised_4096	teosinte	0.9308197551982428	plant	plant				plant_supervised_to_plant_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	1
calib_anchor	cross_supervised_4096	teosinte	0.9299634062638152	cross	plant				cross_supervised_to_cross_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	cross_supervised_4096	teosinte	0.9299634062638152	cross	plant				cross_supervised_to_plant_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	teosinte	0.8886845637016639	animal	plant				animal_invert_boost_to_cross_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	teosinte	0.8886845637016639	animal	plant				animal_invert_boost_to_plant_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	insect_no_beetle_4096	teosinte	0.7928110204987012	insect	plant				insect_no_beetle_to_cross_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	insect_no_beetle_4096	teosinte	0.7928110204987012	insect	plant				insect_no_beetle_to_plant_eval	0.086856	0.088019	0.868021	259955621	2563626352		1500.0	3.1760912590556813	0
calib_anchor	cross_supervised_4096	thale_cress	0.7121875392581978	cross	plant				cross_supervised_to_plant_fine	0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
calib_anchor	plant_supervised_4096	thale_cress	0.6974776069597389	plant	plant				plant_supervised_to_plant_fine	0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	thale_cress	0.2079073653834738	animal	plant				animal_invert_boost_to_plant_fine	0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
calib_anchor	insect_no_beetle_4096	thale_cress	0.1382559591838703	insect	plant				insect_no_beetle_to_plant_fine	0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
final_errorbar	ntv3_100m_pre_w2048	thale_cress	0.1299511497000876	human_h0_ntv3_100m	plant	plant_fine	3.0	0.0173026332429277		0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
final_errorbar	ntv2_250m_w4096	thale_cress	0.059250325526733	human_h0_ntv2_250m	plant	plant_fine	3.0	0.0279221757123653		0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
supp_h0_transfer	ntv2_500m_H0_w4096	thale_cress	0.0350888069185704	human_h0_ntv2_500m	plant				transfer_BC_w4096	0.043011	0.043145	0.932855	1297325	28049979	0.37922119140625	1550.0	3.1903316981702914	0
supp_h0_transfer	ntv2_500m_H0_w4096	western_clawed_frog	0.7676709570719781	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.000179	0.000179	0.967076	84407	455592780	0.5371810538664581	360.0	2.5563025007672873	0
final_errorbar	ntv2_250m_w4096	western_clawed_frog	0.6476854010493278	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0436579387818896		0.000179	0.000179	0.967076	84407	455592780	0.5371810538664581	360.0	2.5563025007672873	0
final_errorbar	ntv3_100m_pre_w2048	western_clawed_frog	0.5191597065847986	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0896323044666213		0.000179	0.000179	0.967076	84407	455592780	0.5371810538664581	360.0	2.5563025007672873	0
anchor_anchor	insect_primary_4096	western_honey_bee	0.946524064171123	insect	insect				insect_primary_to_insect_stress	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
calib_anchor	insect_no_beetle_4096	western_honey_bee	0.7983193277310925	insect	insect				insect_no_beetle_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
calib_anchor	insect_no_beetle_4096	western_honey_bee	0.7983193277310925	insect	insect				insect_no_beetle_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
anchor_anchor	insect_no_beetle_4096	western_honey_bee	0.7983193277310925	insect	insect				insect_no_beetle_to_insect_stress	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	western_honey_bee	0.05217988328184	animal	insect				animal_invert_boost_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	western_honey_bee	0.05217988328184	animal	insect				animal_invert_boost_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	western_honey_bee	0.05217988328184	animal	insect				animal_invert_boost_to_insect_stress	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	1
calib_anchor	cross_supervised_4096	western_honey_bee	0.0052898014902451	cross	insect				cross_supervised_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	cross_supervised_4096	western_honey_bee	0.0052898014902451	cross	insect				cross_supervised_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
