contrast	case_idx	control_idx	case_source	control_source	case_species	control_species	case_chrom	control_chrom	case_label	control_label	case_sf5_best_main4	control_sf5_best_main4	match_distance	case_gc	control_gc	delta_gc	case_entropy_2bit_max	control_entropy_2bit_max	delta_entropy_2bit_max	case_top_6mer_frac	control_top_6mer_frac	delta_top_6mer_frac	case_max_homopolymer	control_max_homopolymer	delta_max_homopolymer
unknown_main4like_vs_matched_known_main4	86	626	unknown_annotation	known_main4	human	human	chr21	chrX	Unknown		DNA		1.0627164969895393	0.4453125	0.37890625	0.06640625	1.984168311010272	1.956281023776688	0.027887287233583802	0.0157790927021696	0.0138067061143984	0.0019723865877711976	13	12	1.0
unknown_main4like_vs_matched_known_main4	137	380	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		5.230009091082544	0.7578125	0.322265625	0.435546875	1.797726972989182	1.9019676308862532	-0.10424065789707115	0.0216962524654832	0.0177514792899408	0.003944773175542399	7	7	0.0
unknown_main4like_vs_matched_known_main4	149	364	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		3.5508992702392828	0.67578125	0.529296875	0.146484375	1.9066325842242795	1.993135588929969	-0.08650300470568939	0.019723865877712	0.0059171597633136	0.0138067061143984	4	4	0.0
unknown_main4like_vs_matched_known_main4	161	335	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		3.5841594495975877	0.677734375	0.42578125	0.251953125	1.9046180916708444	1.967820258776892	-0.06320216710604765	0.019723865877712	0.009861932938856	0.009861932938856	4	4	0.0
unknown_main4like_vs_matched_known_main4	177	515	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		4.470918082992562	0.712890625	0.3671875	0.345703125	1.863554247315627	1.9468946683527637	-0.08334042103713668	0.0216962524654832	0.0138067061143984	0.0078895463510848	7	5	2.0
unknown_main4like_vs_matched_known_main4	187	985	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		4.18511991340818	0.734375	0.51171875	0.22265625	1.8337185217830452	1.9932509118916728	-0.15953239010862763	0.0138067061143984	0.0059171597633136	0.007889546351084801	6	5	1.0
unknown_main4like_vs_matched_known_main4	321	372	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		3.9312598424117966	0.677734375	0.4609375	0.216796875	1.9046698117706249	1.987090255174751	-0.08242044340412602	0.0216962524654832	0.0078895463510848	0.0138067061143984	4	4	0.0
unknown_main4like_vs_matched_known_main4	325	988	unknown_annotation	known_main4	human	human	chr22	chrX	Unknown		DNA		6.481563154077589	0.80078125	0.3125	0.48828125	1.7192618671982336	1.8799901374417856	-0.16072827024355196	0.029585798816568	0.0236686390532544	0.0059171597633136015	7	11	-4.0
unknown_main4like_vs_matched_known_main4	345	742	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		6.1156302802075855	0.7421875	0.328125	0.4140625	1.803066643507967	1.8967283406081143	-0.09366169710014738	0.0315581854043392	0.0177514792899408	0.013806706114398395	4	10	-6.0
unknown_main4like_vs_matched_known_main4	371	602	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		0.27600269186767395	0.453125	0.4296875	0.0234375	1.9901471941571904	1.984873347809145	0.005273846348045508	0.0059171597633136	0.0059171597633136	0.0	7	7	0.0
unknown_main4like_vs_matched_known_main4	540	124	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		0.05657334821365613	0.453125	0.45703125	-0.00390625	1.9906517119474556	1.9926166431396868	-0.0019649311922311785	0.0078895463510848	0.0078895463510848	0.0	7	7	0.0
unknown_main4like_vs_matched_known_main4	659	452	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		6.434898036179659	0.80078125	0.2890625	0.51171875	1.7200868010850667	1.85497424826386	-0.1348874471787933	0.0276134122287968	0.0236686390532544	0.003944773175542402	8	12	-4.0
unknown_main4like_vs_matched_known_main4	681	866	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		2.033660097547737	0.45703125	0.349609375	0.107421875	1.9915265547930567	1.9273092957336808	0.06421725905937592	0.0276134122287968	0.0236686390532544	0.003944773175542402	19	17	2.0
unknown_main4like_vs_matched_known_main4	686	146	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		5.815411904568471	0.7734375	0.33984375	0.43359375	1.7711785072619028	1.9238194986485624	-0.15264099138665954	0.0236686390532544	0.0177514792899408	0.005917159763313598	7	10	-3.0
unknown_main4like_vs_matched_known_main4	705	616	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		LTR		0.04362699766461119	0.478515625	0.482421875	-0.00390625	1.9973677988373009	1.9977762239082968	-0.0004084250709959214	0.0059171597633136	0.0059171597633136	0.0	6	6	0.0
unknown_main4like_vs_matched_known_main4	718	833	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		1.6241095398579046	0.455078125	0.375	0.080078125	1.992558033666179	1.9522720350040197	0.04028599866215932	0.0177514792899408	0.0138067061143984	0.0039447731755424004	14	12	2.0
unknown_main4like_vs_matched_known_main4	792	192	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		2.5022830016258664	0.466796875	0.34765625	0.119140625	1.9936249076033905	1.9253464140938867	0.06827849350950377	0.029585798816568	0.0236686390532544	0.0059171597633136015	20	17	3.0
unknown_main4like_vs_matched_known_main4	794	897	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		6.556131245188546	0.78125	0.283203125	0.498046875	1.7567204440241435	1.85178501843594	-0.09506457441179639	0.029585798816568	0.0138067061143984	0.015779092702169602	7	6	1.0
unknown_main4like_vs_matched_known_main4	802	586	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		4.6678200171701825	0.732421875	0.41796875	0.314453125	1.837781400927312	1.947594005413684	-0.10981260448637209	0.019723865877712	0.0078895463510848	0.011834319526627201	7	6	1.0
unknown_main4like_vs_matched_known_main4	856	409	unknown_annotation	known_main4	human	human	chr21	chrX	Unknown		DNA		6.003848164200083	0.7734375	0.3359375	0.4375	1.7719137444603048	1.8953027503965885	-0.12338900593628366	0.0256410256410256	0.0118343195266272	0.013806706114398399	7	6	1.0
unknown_main4like_vs_matched_known_main4	880	174	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		6.34645443192638	0.796875	0.38671875	0.41015625	1.7280789867142987	1.9201935095489555	-0.1921145228346568	0.0216962524654832	0.009861932938856	0.0118343195266272	7	4	3.0
unknown_main4like_vs_matched_known_main4	917	635	unknown_annotation	known_main4	human	human	chr21	chrX	Unknown		DNA		7.134258166299542	0.798828125	0.38671875	0.412109375	1.7239729407348976	1.957591286795518	-0.23361834606062049	0.0315581854043392	0.0157790927021696	0.0157790927021696	8	11	-3.0
unknown_main4like_vs_matched_known_main4	927	538	unknown_annotation	known_main4	human	human	chr21	chrX	Unknown		DNA		3.878326783761461	0.693359375	0.421875	0.271484375	1.8881011410643955	1.9670648889199391	-0.07896374785554361	0.019723865877712	0.009861932938856	0.009861932938856	9	10	-1.0
unknown_main4like_vs_matched_known_main4	980	118	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		6.698208769207484	0.796875	0.2890625	0.5078125	1.7275910259353378	1.8597191017719368	-0.13212807583659902	0.0256410256410256	0.0118343195266272	0.013806706114398399	8	7	1.0
unknown_main4like_vs_matched_known_main4	1008	829	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		3.9211718349817404	0.6640625	0.4296875	0.234375	1.9194037354291928	1.9813484354651507	-0.06194470003595787	0.0236686390532544	0.009861932938856	0.013806706114398399	6	6	0.0
unknown_main4like_vs_matched_known_main4	1014	342	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		6.11427972024692	0.7734375	0.36328125	0.41015625	1.771865159919405	1.9411854068210208	-0.16932024690161573	0.0256410256410256	0.0138067061143984	0.011834319526627198	8	11	-3.0
unknown_main4like_vs_matched_known_main4	1040	341	unknown_annotation	known_main4	human	human	chr19	chrX	Unknown		DNA		4.345431003365162	0.68359375	0.466796875	0.216796875	1.89687846974852	1.994982574619588	-0.09810410487106802	0.0236686390532544	0.0078895463510848	0.015779092702169602	6	5	1.0
unknown_main4like_vs_matched_known_main4	1085	261	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		LTR		0.04382813466092748	0.490234375	0.486328125	0.00390625	1.9983261568984108	1.9978604276430905	0.00046572925532029075	0.0059171597633136	0.0059171597633136	0.0	6	6	0.0
unknown_main4like_vs_matched_known_main4	1096	826	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		6.083196443940724	0.775390625	0.341796875	0.43359375	1.7663884007257866	1.92357813525394	-0.15718973452815344	0.0236686390532544	0.0118343195266272	0.0118343195266272	8	7	1.0
unknown_main4like_vs_matched_known_main4	1119	215	unknown_annotation	known_main4	human	human	chrX	chrX	Unknown		DNA		5.4778352665736865	0.759765625	0.416015625	0.34375	1.7943237116882051	1.9418673351087528	-0.1475436234205476	0.0216962524654832	0.0078895463510848	0.0138067061143984	7	5	2.0
unknown_main4like_vs_matched_known_main4	1131	1046	unknown_annotation	known_main4	human	human	chr20	chrX	Unknown		DNA		1.9695758725344104	0.47265625	0.40234375	0.0703125	1.9950079449541744	1.9624050078334052	0.032602937120769226	0.0157790927021696	0.009861932938856	0.005917159763313598	13	10	3.0
